Price,Location,Size,Bedrooms,Bathrooms,Tenure,Property_Type,Barbeque area,Club house,Gymnasium,Jogging Track,Lift,Minimart,Multipurpose hall,Parking,Playground,Sauna,Security,Squash Court,Swimming Pool,Tennis Court
140000,Kajang,850,3,2,Freehold,Apartment,0,0,0,0,0,0,0,1,0,0,0,0,0,0
365000,Ara Damansara,697,2,1,Leasehold,Service Residence,1,0,1,1,1,1,1,1,1,1,1,0,1,0
330000,Kajang,1045,3,2,Freehold,Condominium,0,0,1,0,1,0,0,1,1,0,1,0,1,0
230000,Semenyih,850,3,2,Freehold,Apartment,0,0,1,1,1,1,0,1,1,1,1,0,1,0
290000,Kajang,1044,3,3,Leasehold,Apartment,0,0,0,0,1,1,0,1,1,0,1,0,1,0
390000,Puchong,1076,3,2,Freehold,Condominium,0,0,1,0,0,1,0,1,1,0,1,0,1,1
300000,Shah Alam,750,3,2,Freehold,Apartment,0,0,0,1,0,0,0,1,1,0,0,0,0,0
368000,Puchong,1020,3,2,Leasehold,Condominium,1,0,1,0,1,1,1,1,1,1,1,0,1,0
300000,Petaling Jaya,770,3,2,Leasehold,Apartment,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154000,Petaling Jaya,652,3,2,Leasehold,Flat,0,0,0,0,1,1,0,1,1,0,1,0,0,0
230000,Ampang,1206,2,2,Leasehold,Condominium,1,0,1,0,1,0,0,1,0,1,1,0,1,1
1100000,Damansara Perdana,2639,5,4,Leasehold,Condominium,1,0,1,1,0,0,0,1,1,1,1,1,1,1
280000,Shah Alam,971,3,2,Leasehold,Apartment,0,0,1,0,1,1,0,1,1,0,1,0,0,0
370000,Kota Damansara,986,3,2,Leasehold,Condominium,0,0,0,0,1,1,1,1,1,0,1,0,1,0
285000,Shah Alam,850,3,2,Leasehold,Apartment,0,0,0,0,0,0,0,1,1,0,1,0,1,0
288000,Semenyih,860,3,2,Freehold,Service Residence,1,0,1,1,1,1,1,1,1,0,1,0,1,0
250000,Cheras,550,2,1,Freehold,Condominium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140000,Subang Jaya,650,3,2,Leasehold,Apartment,0,0,0,0,1,1,0,1,1,0,0,0,0,0
255000,Batu Caves,900,3,2,Leasehold,Condominium,0,0,0,0,0,0,0,1,1,0,1,0,1,0
245000,Petaling Jaya,764,3,2,Leasehold,Apartment,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240000,Selayang,875,3,2,Leasehold,Service Residence,0,0,0,0,1,0,1,1,0,0,1,0,0,0
260000,Petaling Jaya,870,3,2,Leasehold,Apartment,0,0,0,0,1,0,0,1,0,0,1,0,1,0
250000,Shah Alam,430,1,1,Freehold,Apartment,0,1,1,1,1,1,1,0,1,0,1,0,1,0
123000,Ampang,538,2,1,Freehold,Flat,0,0,0,0,0,0,0,1,0,0,0,0,0,0
800000,Kota Kemuning,1388,3,2,Leasehold,Condominium,1,1,1,1,1,0,1,1,1,1,1,0,1,0
260000,Kajang,840,3,3,Leasehold,Condominium,0,0,1,0,0,1,0,1,1,0,1,0,1,0
180000,Ampang,650,3,2,Freehold,Apartment,0,0,0,0,0,0,0,1,0,0,0,0,0,0
200000,Bandar Saujana Putra,750,3,2,Leasehold,Apartment,0,0,0,0,0,0,0,0,1,0,1,0,0,0
360000,Balakong,951,3,2,Freehold,Service Residence,1,0,1,1,1,0,1,1,1,1,1,0,1,0
438000,Bandar Utama,920,3,2,Leasehold,Condominium,0,0,1,0,1,0,1,1,1,1,1,0,1,0
339000,Puchong,1219,4,2,Leasehold,Condominium,0,0,0,0,1,1,0,1,0,0,1,0,1,0
300000,Rawang,900,3,2,Freehold,New Condominium,0,0,1,0,1,0,0,1,1,0,1,0,1,0
95000,Kajang,660,3,2,Leasehold,Apartment,1,0,0,1,0,1,0,1,1,0,0,0,0,0
360000,Bangi,1017,3,2,Freehold,Service Residence,1,0,1,0,1,1,1,1,1,0,1,0,1,0
150000,Rawang,661,3,2,Freehold,Apartment,0,0,0,0,0,1,0,0,0,0,0,0,0,0
328000,Shah Alam,850,3,2,Leasehold,Apartment,0,0,0,0,0,1,0,1,0,0,0,0,0,0
398000,Kelana Jaya,1300,3,2,Freehold,Condominium,0,0,1,0,0,0,0,0,0,0,0,1,0,0
145000,Selayang,600,2,1,Leasehold,Apartment,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329000,Selayang,1089,3,2,Freehold,Condominium,0,0,1,0,1,1,1,1,1,0,1,0,1,0
218000,Selayang,850,3,2,Leasehold,Apartment,0,0,0,0,0,1,0,0,1,0,1,0,0,0
320000,Selayang,1210,3,3,Leasehold,Condominium,1,0,1,0,1,0,1,1,1,0,1,0,1,0
350000,Selayang,1089,3,2,Freehold,Condominium,0,0,1,0,1,1,1,1,1,0,1,0,1,0
320000,Ampang,1013,3,2,Leasehold,Apartment,0,0,0,0,1,0,0,1,0,0,1,0,0,0
240000,Puchong,750,3,2,Freehold,Apartment,0,0,0,0,0,1,0,1,1,0,1,0,0,0
100000,Shah Alam,650,3,2,Leasehold,Flat,0,0,0,0,0,0,0,1,1,0,0,0,0,0
370000,I-City,466,1,1,Freehold,Service Residence,0,0,1,0,1,0,1,1,1,0,1,0,1,0
170000,Puchong,837,3,2,Leasehold,Condominium,0,0,0,0,0,0,0,0,0,0,1,0,1,0
395000,Seri Kembangan,1068,3,2,Freehold,Service Residence,0,0,1,0,1,1,1,1,1,1,1,0,1,0
139000,Klang,729,3,2,Leasehold,Flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259000,Beranang,860,3,2,Freehold,Apartment,0,0,0,0,1,0,0,1,1,0,1,0,1,0
335000,Kajang,1023,3,2,Freehold,Condominium,0,0,1,0,1,0,0,1,1,0,1,0,1,0
240000,Shah Alam,778,3,2,Leasehold,Apartment,1,0,0,0,0,1,0,1,1,0,1,0,0,0
170000,Petaling Jaya,650,3,2,Freehold,Apartment,0,0,0,0,0,1,0,1,1,0,0,0,0,0
320000,Selayang,1150,3,2,Leasehold,Apartment,1,0,0,0,1,1,0,1,0,1,1,0,1,0
238000,Kajang,786,3,2,Freehold,Apartment,0,0,0,0,0,0,0,1,0,0,1,0,0,0
250000,Kajang,590,2,1,Freehold,Condominium,0,0,1,1,1,0,1,1,1,0,1,0,1,0
500000,Bukit Jelutong,600,2,1,Freehold,Service Residence,1,0,1,1,1,1,1,1,1,1,1,0,1,0
238000,Bandar Sri Damansara,807,3,2,Freehold,Apartment,0,0,0,0,0,0,0,1,1,0,1,0,0,0
530000,Shah Alam,1124,3,3,Freehold,Service Residence,1,0,1,0,1,0,0,1,1,0,1,0,1,0
200000,Semenyih,750,3,2,Freehold,Apartment,0,0,0,0,1,1,1,1,1,0,1,0,0,0
360000,Rawang,1210,3,3,Leasehold,Condominium,1,0,0,0,1,0,1,1,1,0,1,0,1,0
330000,Puchong,1069,3,2,Freehold,Condominium,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110000,Kajang,766,3,2,Freehold,Flat,0,0,0,0,0,1,0,0,0,0,0,0,0,0
400000,Kelana Jaya,1281,3,2,Freehold,Condominium,1,1,1,1,1,1,1,1,1,1,1,1,1,1
400000,Kuala Langat,1000,3,2,Leasehold,Condominium,1,0,1,0,1,0,1,1,1,0,1,0,1,0
160000,Puchong,606,3,1,Leasehold,Apartment,0,0,0,0,0,0,0,1,1,0,1,0,0,0
210000,Puncak Alam,760,3,2,Leasehold,Apartment,0,0,0,0,0,0,0,1,0,0,1,0,0,0
210000,Semenyih,750,3,2,Freehold,Apartment,1,0,0,0,1,0,1,1,1,0,1,0,0,0
550000,Damansara Perdana,977,3,2,Leasehold,Condominium,1,1,1,1,1,0,1,1,1,1,1,0,1,1
290000,Subang Jaya,860,3,2,Leasehold,Apartment,0,0,1,0,1,0,0,1,1,0,1,0,1,0
184000,Kajang,728,3,1,Freehold,Flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230000,Cyberjaya,601,1,2,Freehold,Service Residence,1,1,1,1,1,1,1,1,1,0,1,0,1,0
300000,Mutiara Damansara,680,3,1,Freehold,Apartment,0,0,0,1,0,0,1,1,1,0,1,0,0,0
275000,Puchong,750,3,2,Freehold,Apartment,1,1,0,1,1,1,1,1,1,0,1,1,1,1
420000,Cheras,850,3,2,Freehold,Apartment,1,1,1,1,1,1,1,1,1,1,1,0,1,1
270000,Cheras,1400,3,2,Freehold,Condominium,1,1,1,0,1,1,0,1,1,0,1,0,1,0
390000,Glenmarie,485,1,1,Freehold,Service Residence,0,0,1,0,1,1,0,1,1,0,1,0,1,0
600000,Petaling Jaya,1269,4,2,Freehold,Condominium,1,0,1,0,1,0,1,1,1,1,1,0,1,1
230000,Batu Caves,770,3,1,Leasehold,Flat,0,0,0,0,0,1,0,1,1,0,1,0,0,0
270000,Petaling Jaya,497,1,1,Leasehold,Studio,1,0,1,0,1,1,1,1,1,1,1,0,1,0
300000,Semenyih,900,3,2,Freehold,Condominium,0,0,1,1,1,1,1,1,1,0,1,0,1,0
