Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Tenure,URL,Facilities
"RM 140,000","Taman Kajang Mewah, Kajang","Apartment For Sale, listed 2 days ago",850,3,2,Freehold,https://www.mudah.my/pangsapuri-taman-kajang-mewah-cheapest-price-than-lelong-low-booking-110850394.htm,Parking
"RM 365,000","Pacific Place, Ara Damansara","Service Residence For Sale, listed 18 hours ago",697,2,1,Leasehold,https://www.mudah.my/pj-ara-damansara-next-lrt-mall-above-shop-lot-full-furnished-111201365.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track"
"RM 330,000","Residensi Zamrud @ Kajang, Kajang","Condominium For Sale, listed 4 hours ago","1,045",3,2,Freehold,https://www.mudah.my/residensi-zamrud-kajang-renovate-111014753.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium"
"RM 230,000","D'Cassia Apartment, Semenyih","Apartment For Sale, listed 11 minutes ago",850,3,2,Freehold,https://www.mudah.my/100-loan-d-cassia-apartment-850sf-setia-ecohil-semenyih-freehold-111137535.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Jogging Track"
"RM 290,000","Vesta View Apartment @ Taman Putra Impian, Kajang","Apartment For Sale, listed 11 minutes ago","1,044",3,3,Leasehold,https://www.mudah.my/100-loan-vesta-view-apartment-1044sf-taman-putra-impian-kajang-111137536.htm,"Parking, Security, Lift, Swimming Pool, Playground, Minimart"
"RM 390,000","Casa Puteri, Puchong","Condominium For Sale, listed 12 minutes ago","1,076",3,2,Freehold,https://www.mudah.my/full-loan-freehold-renovate-casa-puteri-condo-bandar-puteri-puchong-111280441.htm,"Parking, Security, Swimming Pool, Playground, Gymnasium, Minimart, Tennis Court"
"RM 300,000","Pangsapuri Aranda, Shah Alam","Apartment For Sale, listed 12 minutes ago",750,3,2,Freehold,https://www.mudah.my/100-loan-pangsapuri-aranda-750sf-shah-alam-below-market-price-111280449.htm,"Parking, Playground, Jogging Track"
"RM 368,000","Koi Tropika, Puchong","Condominium For Sale, listed 15 minutes ago","1,020",3,2,Leasehold,https://www.mudah.my/full-loan-renovated-koi-tropika-bandar-puteri-puchong-110880359.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall"
"RM 300,000","Mentari Court, Petaling Jaya","Apartment For Sale, listed 15 minutes ago",770,3,2,Leasehold,https://www.mudah.my/mentari-court-bandar-sunway-109821573.htm,Timeout
"RM 154,000","Desa Mentari Flat (Block 1), Petaling Jaya","Flat For Sale, listed 16 minutes ago",652,3,2,Leasehold,https://www.mudah.my/bulan-600-blok-1-rm1k-skim-fulloan-desa-mentari-sri-manja-sunway-pjs-110410064.htm,"Parking, Security, Lift, Playground, Minimart"
