Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Tenure,URL,Facilities
"RM 310,000","Bayu Tasik 1, Cheras","Condominium For Sale, listed 9 hours ago",920,3,2,Leasehold,https://www.mudah.my/level-3-bayu-tasik-condo-110487381.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart"
"RM 538,000","Bukit Jalil, Kuala Lumpur","Duplex For Sale, listed 13 hours ago","1,888",5,4,Freehold,https://www.mudah.my/bukit-jalil-duplex-penthouse-sky-bungalow-garden-in-the-sky-110737394.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court"
"RM 550,000","Vista Tasik, Cheras","Condominium For Sale, listed 2 days ago","1,012",3,2,Freehold,https://www.mudah.my/for-sale-vista-tasik-condominium-bandar-sri-permaisuri-cheras-kl-111237963.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Squash Court"
"RM 195,000","Taman Sri Kuching, Jalan Kuching","Apartment For Sale, listed 29 minutes ago",775,3,2,Leasehold,https://www.mudah.my/sri-kuching-apartment-for-sale-at-jalan-kuching-kl-111211912.htm,Parking
"RM 600,000","Ceylonz Suites, KLCC","Service Residence For Sale, listed 30 minutes ago",384,1,1,Freehold,https://www.mudah.my/chic-studio-ceylonz-suites-bukit-ceylon-kuala-lumpur-for-sale-110720544.htm,"Parking, Security, Lift, Swimming Pool, Gymnasium"
"RM 389,000","Mentari Condominium, Cheras","Condominium For Sale, listed 32 minutes ago","1,025",3,2,Leasehold,https://www.mudah.my/cheapest-1025sqft-mentari-condominium-bandar-permaisuri-cheras-kl-110884553.htm,"Parking, Security, Swimming Pool, Playground, Gymnasium"
"RM 400,000","Endah Puri, Sri Petaling","Condominium For Sale, listed 40 minutes ago","1,211",4,3,Leasehold,https://www.mudah.my/2-parking-endah-puri-condominium-sri-petaling-kuala-lumpur-111272898.htm,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Tennis Court"
"RM 450,000","Setapak, Kuala Lumpur","Condominium For Sale, listed 51 minutes ago",908,3,2,Leasehold,https://www.mudah.my/ascenda-residensi-condo-setapak-kuala-lumpur-110843729.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court"
"RM 220,000","Seksyen 4 Wangsa Maju Flat, Wangsa Maju","Apartment For Sale, listed 54 minutes ago",572,2,1,Leasehold,https://www.mudah.my/corner-unit-flat-seksyen-4-wangsa-maju-tingkat-1-non-bumi-unit-110806282.htm,Playground
"RM 475,000","Segambut, Kuala Lumpur","Condominium For Sale, listed 55 minutes ago","1,026",3,2,Freehold,https://www.mudah.my/freehold-fully-furnished-british-concept-next-to-mitec-matrade-111198068.htm,Timeout
"RM 665,000","Vista Harmoni @ Sentul, Sentul","Condominium For Sale, listed 55 minutes ago","1,200",3,3,Freehold,https://www.mudah.my/1200sf-3-rooms-sentul-balcony-freehold-20-mins-to-pj-mon-t-kiara-110938932.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall"
"RM 670,000","Rica Residence Sentul, Sentul","Service Residence For Sale, listed 57 minutes ago",990,3,2,Freehold,https://www.mudah.my/sentul-rica-residence-near-mrt-n-ktm-stations-111272878.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Jogging Track, Tennis Court, Squash Court"
"RM 255,000","Pangsapuri Indah Mas, Cheras","Apartment For Sale, listed 1 hour ago",789,3,1,Leasehold,https://www.mudah.my/low-level-pangsapuri-indah-mas-111272795.htm,"Parking, Security, Playground, Minimart"
"RM 990,000","Serini Melawati, Taman Melawati","Service Residence For Sale, listed 1 hour ago","1,494",4,4,Freehold,https://www.mudah.my/freehold-serini-melawati-condominium-111272846.htm,"Parking, Security, Swimming Pool, Playground, Gymnasium, Minimart"
"RM 545,000","Sentul, Kuala Lumpur","Condominium For Sale, listed 1 hour ago","1,216",3,3,Freehold,https://www.mudah.my/1200sf-3-rooms-sentul-balcony-freehold-next-to-duke-highway-110994947.htm,Timeout
"RM 475,000","Segambut, Kuala Lumpur","Condominium For Sale, listed 1 hour ago","1,026",3,2,Freehold,https://www.mudah.my/freehold-fully-furnished-british-concept-8-mins-to-mont-kiara-111198064.htm,Timeout
"RM 475,000","Jalan Kuching, Kuala Lumpur","Service Residence For Sale, listed 1 hour ago","1,026",3,2,Freehold,https://www.mudah.my/freehold-fully-furnished-british-concept-beside-savy-savio-109078881.htm,Timeout
"RM 665,000","Vista Harmoni @ Sentul, Sentul","Condominium For Sale, listed 1 hour ago","1,200",3,3,Freehold,https://www.mudah.my/1200sf-3-rooms-sentul-balcony-freehold-next-to-duke-highway-110938937.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall"
"RM 210,000","Pelangi Magna, Kepong","Apartment For Sale, listed 1 hour ago",725,3,2,Freehold,https://www.mudah.my/below-market-pelangi-magna-apartment-for-sale-kepong-111272783.htm,"Parking, Playground, Barbeque area"
"RM 413,888","Suria @ North Kiara, Segambut","Service Residence For Sale, listed 1 hour ago",722,3,2,Freehold,https://www.mudah.my/fully-furnish-suria-north-kiara-722sf-2r2b-segambut-sri-bintang-111272764.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track"
"RM 479,000","Kiara East - DEX Suites, KL City","Service Residence For Sale, listed 1 hour ago",722,2,1,Leasehold,https://www.mudah.my/kl-jalan-ipoh-kiara-east-suite-dex-luxury-condo-sales-near-duke-duta-111272749.htm,"Parking, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track"
"RM 350,000","Plaza 393, Cheras","Condominium For Sale, listed 1 hour ago",902,3,2,Leasehold,https://www.mudah.my/plaza-393-condo-taman-maluri-next-to-sunway-velocity-mrt-lrt-111272670.htm,"Parking, Security, Lift, Playground, Gymnasium, Minimart"
"RM 800,000","Residensi Bukit Jalil, Bukit Jalil","Condominium For Sale, listed 1 hour ago","1,730",3,2,Leasehold,https://www.mudah.my/residensi-bukit-jalil-kl-murah-fully-furnish-cantik-lrt-alam-sutera-111272739.htm,"Parking, Security, Lift, Swimming Pool, Playground, Sauna, Barbeque area, Multipurpose hall"
