Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Tenure,URL,Facilities
"RM 1,300,000","Kepong, Kuala Lumpur","Terraced House For Sale, listed 1 day ago","3,207",4,3,Leasehold,https://www.mudah.my/taman-ehsan-kepong-corner-lot-newly-renovated-fully-extended-k-l-111271771.htm,"Parking, Jogging Track"
"RM 1,900,000","Gombak, Kuala Lumpur","3-storey Terraced House For Sale, listed 3 days ago","4,000",5,6,Freehold,https://www.mudah.my/rumah-mewah-3-tingkat-eksklusif-gombak-kl-111242241.htm,Timeout
"RM 1,150,000","Bangsar, Kuala Lumpur","Bungalow House For Sale, listed 23 hours ago","7,125",4,5,Leasehold,https://www.mudah.my/taman-bukit-piatu-mutiara-bungalow-melaka-town-near-mall-and-hospital-111202414.htm,Timeout
"RM 1,599,000","Taman Melawati, Kuala Lumpur","Townhouse For Sale, listed 27 minutes ago","2,464",4,5,Freehold,https://www.mudah.my/1-5storey-townhouse-sunway-montana-melawati-110923676.htm,Timeout
"RM 1,300,000","Setapak, Kuala Lumpur","2-storey Terraced House For Sale, listed 52 minutes ago","3,000",5,3,Freehold,https://www.mudah.my/flexi-book-fully-reno-double-storey-taman-setapak-garden-setapa-109530173.htm,"Parking, Security"
"RM 990,000","Cheras, Kuala Lumpur","2-storey Terraced House For Sale, listed 52 minutes ago","2,950",4,3,Leasehold,https://www.mudah.my/corner-lot-facing-open-2-storey-damai-bakti-alam-damai-cheras-111130539.htm,"Parking, Playground"
"RM 570,000","Setapak, Kuala Lumpur","Townhouse For Sale, listed 55 minutes ago","2,120",3,2,Freehold,https://www.mudah.my/taman-melati-3-setapak-townhouse-corner-unit-freehold-for-sale-110180477.htm,Parking
"RM 1,390,000","Wangsa Maju, Kuala Lumpur","2-storey Terraced House For Sale, listed 1 hour ago","3,143",6,5,Freehold,https://www.mudah.my/wangsa-melawati-corner-lot-freehold-fully-renovated-for-sale-111007458.htm,Timeout
"RM 1,380,000","Taman Melawati, Kuala Lumpur","2-storey Terraced House For Sale, listed 1 hour ago","2,800",4,3,Freehold,https://www.mudah.my/taman-melawati-two-storey-terrace-house-corner-lot-for-sale-111007523.htm,Timeout
"RM 2,200,000","Taman Melawati, Kuala Lumpur","Bungalow House For Sale, listed 1 hour ago","6,500",6,6,Freehold,https://www.mudah.my/kl-bungalow-6-500-sqft-3-storey-bayu-kemensah-taman-melawati-ampang-110962820.htm,"Parking, Security, Playground, Barbeque area, Minimart"
"RM 900,000","Keramat, Kuala Lumpur","2.5-storey Terraced House For Sale, listed 1 hour ago","2,500",5,3,Leasehold,https://www.mudah.my/5-rooms-full-renovated-20x70-taman-keramat-permai-au1-2-5-storey-111285394.htm,"Parking, Security, Playground"
"RM 1,250,000","Wangsa Maju, Kuala Lumpur","2-storey Terraced House For Sale, listed 1 hour ago","4,400",5,4,Leasehold,https://www.mudah.my/big-land-corner-reno-extend-below-mv-cheap-taman-ukay-bistari-110260337.htm,Parking
"RM 378,000","City Centre, Kuala Lumpur","1-storey Terraced House For Sale, listed 2 hours ago",850,2,2,Freehold,https://www.mudah.my/house-at-tmn-cheras-utama-111285024.htm,Timeout
"RM 1,500,000","Gombak, Kuala Lumpur","Semi-Detached House For Sale, listed 2 hours ago","4,550",6,7,Freehold,https://www.mudah.my/3-storey-semi-d-individual-gated-guarted-can-saw-kl-city-view-111284630.htm,Timeout
"RM 798,000","Keramat, Kuala Lumpur","2-storey Terraced House For Sale, listed 2 hours ago","3,300",4,3,Leasehold,https://www.mudah.my/keramat-au2-ulu-klang-2-storey-terrace-house-fully-renovated-111284881.htm,"Parking, Playground, Minimart"
"RM 2,000,000","Taman Permata, Kuala Lumpur","2-storey Terraced House For Sale, listed 2 hours ago","4,700",7,7,Freehold,https://www.mudah.my/corner-unit-freehold-double-storey-terrace-taman-permata-house-111284879.htm,"Parking, Playground, Minimart"
"RM 1,500,000","Bangsar, Kuala Lumpur","2.5-storey Terraced House For Sale, listed 2 hours ago","2,000",4,4,Freehold,https://www.mudah.my/facing-open-2-5-storey-terrace-lucky-garden-bangsar-kl-renovated-111284875.htm,"Parking, Playground, Minimart"
"RM 830,000","Ampang, Kuala Lumpur","2-storey Terraced House For Sale, listed 2 hours ago","3,810",4,3,Leasehold,https://www.mudah.my/corner-2-storey-house-for-sale-ampang-jaya-111284366.htm,Timeout
"RM 3,500,000","Mont Kiara, Kuala Lumpur","3-storey Terraced House For Sale, listed 2 hours ago","3,638",5,5,Freehold,https://www.mudah.my/corner-lot-superlink-terrace-jalan-sri-hartamas-serene-mont-kiara-111284302.htm,"Parking, Security, Swimming Pool, Playground, Gymnasium, Club house"
"RM 2,200,000","Taman Melawati, Kuala Lumpur","Bungalow House For Sale, listed 2 hours ago","5,600",6,6,Freehold,https://www.mudah.my/below-market-freehold-3-storey-bungalow-bayu-kemensah-melawati-110729792.htm,"Parking, Security"
"RM 870,000","Keramat, Kuala Lumpur","2-storey Terraced House For Sale, listed 2 hours ago","2,200",6,4,Leasehold,https://www.mudah.my/renovated-double-storey-terrace-taman-lembah-keramat-kuala-lumpur-110632793.htm,"Playground, Minimart"
"RM 598,000","Kepong, Kuala Lumpur","2-storey Terraced House For Sale, listed 2 hours ago","1,200",3,2,Freehold,https://www.mudah.my/taman-bukit-desa-kepong-full-renovated-good-deal-110760873.htm,Timeout
"RM 688,000","Sentul, Kuala Lumpur","2-storey Terraced House For Sale, listed 3 hours ago","1,722",3,3,Leasehold,https://www.mudah.my/renovated-3-storey-terrace-taman-dato-senu-sentul-111284169.htm,Timeout
"RM 750,000","Jalan Kuching, Kuala Lumpur","Bungalow House For Sale, listed 3 hours ago","4,250",4,3,Leasehold,https://www.mudah.my/bungalow-kl-4250-sqft-2-storey-taman-sri-delima-jalan-kuching-110119305.htm,"Parking, Playground, Barbeque area, Minimart"
