Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Tenure,URL,Facilities
"RM 342,000","Sepang, Selangor","Townhouse For Sale, listed 14 hours ago","1,760",3,2,Leasehold,https://www.mudah.my/15min-to-klia-gated-guarded-22x80-2-sty-townhouse-sepang-kota-warisan-109398999.htm,"Parking, Security, Playground, Jogging Track"
"RM 1,800,000","Ampang, Selangor","Bungalow House For Sale, listed 6 days ago","5,900",6,6,Leasehold,https://www.mudah.my/view-klcc-bungalow-kg-bukit-sungai-puteh-bukit-belacan-ampang-111202135.htm,Timeout
"RM 330,000","Klang, Selangor","1-storey Terraced House For Sale, listed 3 days ago","1,400",3,3,Freehold,https://www.mudah.my/rumah-setingkat-taman-pinang-klang-renovated-111244560.htm,Timeout
"RM 660,000","Shah Alam, Selangor","2-storey Terraced House For Sale, listed 4 minutes ago","2,100",4,3,Leasehold,https://www.mudah.my/extended-kitchen-teres-2-tingkat-seksyen-6-shah-alam-110878544.htm,Timeout
"RM 588,000","Subang Jaya, Selangor","2-storey Terraced House For Sale, listed 6 minutes ago","1,400",4,3,Freehold,https://www.mudah.my/cheapest-freehold-2-storey-taman-perindustrian-uep-subang-shah-alam-108448735.htm,"Security, Playground, Minimart"
"RM 550,000","Semenyih, Selangor","2-storey Terraced House For Sale, listed 7 minutes ago","1,800",4,3,Freehold,https://www.mudah.my/freehold-facing-open-renovated-extend-double-storey-sunway-semenyih-109985803.htm,"Parking, Security, Playground"
"RM 575,000","Shah Alam, Selangor","Semi-Detached House For Sale, listed 9 minutes ago","2,895",4,3,Leasehold,https://www.mudah.my/rumah-baru-dekat-setia-alam-semi-d-laman-budiman-shah-alam-110775348.htm,Timeout
"RM 545,000","Kajang, Selangor","2-storey Terraced House For Sale, listed 10 minutes ago","1,750",4,3,Freehold,https://www.mudah.my/2sty-terrace-house-taman-jelok-impian-prima-saujana-kajang-111249964.htm,Timeout
"RM 670,000","Cheras, Selangor","2-storey Terraced House For Sale, listed 10 minutes ago","1,650",4,3,Freehold,https://www.mudah.my/renovated-2sty-teres-taman-damai-jaya-nr-sri-raya-mrt-station-cheras-110074542.htm,Timeout
"RM 660,000","Puchong, Selangor","2-storey Terraced House For Sale, listed 10 minutes ago","1,396",4,3,Freehold,https://www.mudah.my/free-spa-newly-reno-2sty-teres-taman-puchong-utama-pu10-puchong-108766655.htm,Timeout
"RM 570,000","Bandar Puteri Klang, Selangor","2-storey Terraced House For Sale, listed 11 minutes ago","1,500",4,3,Freehold,https://www.mudah.my/below-market-2-storey-20x75-gelang-bandar-puteri-klang-value-buy-111285724.htm,Timeout
"RM 515,000","Kajang, Selangor","2-storey Terraced House For Sale, listed 13 minutes ago","2,045",4,3,Freehold,https://www.mudah.my/rumah-cantik-freehold-double-storey-terrace-bangi-avenue-2-111285763.htm,Timeout
