Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL,Facilities
"RM 250,000","Jalan Putra Permai 2 Jalan Putra Permai, Taman Putra Permai, Seri Kembangan, Selangor","Listed on Aug 14, 2025 (1d ago)",787 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/putra-permai-block-b-for-sale-by-kean-phang-60255130,Not Listed
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/rimbun-saujana-residency-for-sale-by-saujana-development-sdn-bhd-42341737#7268,"24 hours security, Bbq, Covered car park, Drop off point"
"RM 145,000","Jalan tks 5, Taman Kajang Jaya, Kajang, Selangor","Listed on Aug 14, 2025 (1d ago)",743 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/taman-kajang-sentral-for-sale-by-quek-60270048,Not Listed
"RM 260,000","- Jalan Wangsa 2/6, Taman Wangsa Permai, Kepong, Selangor","Listed on Aug 13, 2025 (2d ago)",955 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/vista-saujana-for-sale-by-celine-yeo-43374096,"24 hours security, Badminton hall, Bbq, Covered car park"
"RM 400,000","Jalan Panglima Jalan Panglima, Persiaran Mahkota Cheras 1, Bandar Mahkota Cheras, Cheras, Selangor","Listed on Aug 12, 2025 (3d ago)","1,100 sqft",3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/suria-court-for-sale-by-lucy-khoo-43023381,"24 hours security, Covered car park"
"RM 230,000","- Jalan Intan 4, Taman Puchong Intan, Taman Puchong Intan, Puchong, Selangor","Listed on Aug 12, 2025 (3d ago)","1,048 sqft",3 Beds,2 Baths,Completion: 1990,Freehold,https://www.propertyguru.com.my/property-listing/intan-apartment-for-sale-by-kelvin-ho-60332505,"24 hours security, Bbq, Covered car park, Jogging track"
"RM 250,000","- Jalan Wangsa 2/6, Taman Wangsa Permai, Kepong, Selangor","Listed on Aug 11, 2025 (4d ago)",992 sqft,3 Beds,2 Baths,Completion: 2011,Leasehold,https://www.propertyguru.com.my/property-listing/prima-saujana-for-sale-by-ronald-soo-43171874,"24 hours security, Bbq, Covered car park, Gym"
"RM 390,000","- Jalan PJS 7/13, Bandar Sunway, Sunway, Selangor","Listed on Aug 11, 2025 (4d ago)",990 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/sunway-court-for-sale-by-ronald-soo-43096273,"24 hours security, Badminton hall, Covered car park, Lounge"
"RM 320,000","Persiaran Setia Indah, Setia Alam, Selangor","Listed on Aug 10, 2025 (5d ago)",900 sqft,3 Beds,2 Baths,Completion: 2020,Freehold,https://www.propertyguru.com.my/property-listing/de-bayu-apartment-for-sale-by-mohd-azam-shah-bin-hamzah-60291378,"24 hours security, Gym, Jogging track, Playground"
"RM 330,000","3 Jalan SS 25/41, Taman Mayang, Kelana Jaya, Petaling Jaya, Selangor","Listed on Aug 08, 2025 (6d ago)",968 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/apartment-sri-mayang-for-sale-by-wysin-wan-43413942,"24 hours security, Covered car park, Perimeter fencing"
"RM 179,000","Persiaran Delima 4 Persiaran Delima 4 Bandar Parklands, Bandar Bukit Tinggi 3, Klang, Selangor","Listed on Aug 15, 2025 (7m ago)",650 sqft,3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/pangsapuri-arista-for-sale-by-jason-lim-42529355,"24 hours security, Badminton hall, Bbq, Cafes"
"RM 168,000","Jalan Pju 10/4C, Damansara Damai, Selangor","Listed on Aug 14, 2025 (1d ago)",650 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/apartment-harmoni-for-sale-by-yubi-leong-500022895,Surau (male & female)
"RM 123,000","- Jalan Palma Raja 3/Ks6, Bandar Botanic, Klang, Selangor","Listed on Aug 13, 2025 (2d ago)",650 sqft,3 Beds,2 Baths,Completion: 2015,Freehold,https://www.propertyguru.com.my/property-listing/pangsapuri-palma-for-sale-by-jason-lim-43376588,"Clubhouse, Multi-purpose hall, Perimeter fencing, Playground"
"RM 306,180","Jalan Sri Manja, Taman Sri Manja, Petaling Jaya, Selangor","Listed on Aug 11, 2025 (3d ago)","1,135 sqft",3 Beds,2 Baths,Completion: 1977,Leasehold,https://www.propertyguru.com.my/property-listing/sri-manja-court-for-sale-by-vinn-43327558,"24 hours security, Badminton hall, Bbq, Covered car park"
"RM 250,000","Jalan Setia Perdana U13/28, Seksyen U13, Setia Alam, Selangor","Listed on Aug 11, 2025 (3d ago)",700 sqft,3 Beds,2 Baths,Completion: 2013,Freehold,https://www.propertyguru.com.my/property-listing/suria-rafflesia-for-sale-by-adi-mohamad-60280715,"24 hours security, Badminton hall, Laundry, Multi-purpose hall"
"RM 250,000","- Jalan Wangsa 2/6, Taman Wangsa Permai, Kepong, Selangor","Listed on Aug 10, 2025 (4d ago)",942 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/ixora-for-sale-by-vivian-lee-60314465,"Badminton hall, Bbq, Covered car park, Lounge"
"RM 380,000","- Jalan SS 8/7, Petaling Jaya, Selangor","Listed on Aug 10, 2025 (5d ago)","1,098 sqft",3 Beds,2 Baths,Apartment,Freehold,https://www.propertyguru.com.my/property-listing/pangsapuri-kelana-impian-for-sale-by-hany-60168630,"24 hours security, Badminton hall, Bbq, Covered car park"
"RM 331,000","Jalan Angsana, Kajang, Selangor","Listed on Aug 09, 2025 (5d ago)",981 sqft,3 Beds,2 Baths,Completion: 2013,Freehold,https://www.propertyguru.com.my/property-listing/ramal-residence-for-sale-by-ismadi-ab-jalil-60276191,"24 hours security, Parking, Perimeter fencing, Playground"
"RM 399,000 - RM 423,000","Cyber Valley, Bandar Baru Bangi, Bangi, Selangor","Listed on Jun 04, 2025 (2mo ago)",906 sqft,3 Beds,2 Baths,Completion: 2025,Leasehold,https://www.propertyguru.com.my/property-listing/project/intana-ria-3-for-sale-by-perbadanan-kemajuan-negeri-selangor-pkns-43403652#11679,Not Listed
"RM 442,680 - RM 483,000","Bandar Saujana Putra, Puchong, Selangor","Listed on Jan 31, 2025 (6mo ago)",850 sqft,3 Beds,2 Baths,Completion: 2028,Leasehold,https://www.propertyguru.com.my/property-listing/project/bsp-sutera-for-sale-by-seribu-baiduri-sdn-bhd-41384444#5517,"24 hours security, Bbq, Community garden, Jogging track"
