Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 900,000","18 Jalan Pinang, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)",875 sqft,3 Beds,2 Baths,Completion: 2019,Freehold,https://www.propertyguru.com.my/property-listing/sky-suites-klcc-for-sale-by-ryan-tan-41971230
"RM 380,000
Starting from","Taman Len Seng, Taman Connaught, Cheras, Kuala Lumpur","Listed on May 27, 2025 (2mo ago)",452 sqft,1 Bed,1 Bath,Completion: 2027,Freehold,https://www.propertyguru.com.my/property-listing/project/the-connaught-one-for-sale-by-uem-sunrise-berhad-37358011?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2Ijo2MTAyNzkwLCJhdCI6MTYzLCJidCI6MCwiY20iOjY1MTEyOTQ2MCwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3NDE4NjUxNTgsImRpIjoiNzc3NjJiYjQzYmUxNDI1NThiZTk4N2FiNzFjNjMzZTciLCJkaiI6MCwiaWkiOiJiODhhODE0YWFhYjU0MjM5YTBlODE1YjliNDMzMmYwOCIsImRtIjozLCJmYyI6OTE2MTU2NDg3LCJmbCI6ODUzOTkzOTU1LCJpcCI6IjYwLjQ4LjE2OC45MyIsImt3IjoiNThqb2ssbGlzdGluZy1yZXNpZGVudGlhbCxsaXN0aW5nLXNhbGUtcHJvcC1uIiwibWsiOiJsaXN0aW5nLXNhbGUtcHJvcC1uLDU4am9rIiwibnciOjExMTM1LCJwYyI6MjEwMCwib3AiOjIxMDAsIm1wIjoyMTAwLCJlYyI6MjEwMCwiZ20iOjAsImVwIjpudWxsLCJwciI6MjM1NzE0LCJydCI6MiwicnMiOjUwMCwic2EiOiI4MSIsInNiIjoiaS0wZDg4M2Q4OTRlMGRmYjk3NCIsInNwIjoyMzE2NTYsInN0IjoxMjM0NTU1LCJ1ayI6IjUwZTQxZWE4LTA3NjItNDI0YS05YjZjLTdhMWRlY2VjN2E1NSIsInRzIjoxNzU1MjQ2MzMwNDI2LCJiZiI6dHJ1ZSwicG4iOiIxLTItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQXNpYS9TaW5nYXBvcmUiLCJmY3BjIjpmYWxzZSwiZXQiOjIwNX0%26s%3DmxPBkZQ0Sa027xMxiuKTWPv5qUg#4567
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/pv-22-residences-for-sale-by-platinum-victory-development-sdn-bhd-40623328#5313
"RM 900,000","18 Jalan Pinang, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 14, 2025 (20h ago)",890 sqft,3 Beds,2 Baths,Completion: 2019,Freehold,https://www.propertyguru.com.my/property-listing/sky-suites-klcc-for-sale-by-daniel-41448194
"RM 660,000","18 Jalan Pinang, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 14, 2025 (20h ago)",650 sqft,2 Beds,2 Baths,Completion: 2019,Freehold,https://www.propertyguru.com.my/property-listing/sky-suites-klcc-for-sale-by-daniel-42023172
"RM 510,000","Jalan 1/48g, Sentul, Kuala Lumpur","Listed on Aug 14, 2025 (23h ago)","1,218 sqft",3 Beds,3 Baths,Completion: 2023,Freehold,https://www.propertyguru.com.my/property-listing/vista-sentul-residences-for-sale-by-kai-kwang-wan-43463400
"RM 350,600
Starting from","Seksyen 14, Shah Alam, Selangor","Listed on Jul 17, 2025 (4w ago)",550 sqft,1 Bed,1 Bath,Service Residence,Leasehold,https://www.propertyguru.com.my/property-listing/project/linkar-52-sa-sentral-for-sale-by-perbadanan-kemajuan-negeri-selangor-pkns-60094014?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2Ijo2MTI5OTE5LCJhdCI6MTYzLCJidCI6MCwiY20iOjY1ODMwMDI0NCwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3NTc0MTgxMDMsImRpIjoiNzc3NjJiYjQzYmUxNDI1NThiZTk4N2FiNzFjNjMzZTciLCJkaiI6MSwiaWkiOiIyNWY2NmY1M2U4Yjk0MmE4YjBlZDU4MjJiOTBhNmI3NyIsImRtIjozLCJmYyI6OTMxNzI0MjE0LCJmbCI6ODYxMjAwNjgwLCJpcCI6IjYwLjQ4LjE2OC45MyIsImt3IjoiNThqb2ssbGlzdGluZy1yZXNpZGVudGlhbCxsaXN0aW5nLXNhbGUtcHJvcC1uIiwibWsiOiJsaXN0aW5nLXNhbGUtcHJvcC1uLDU4am9rIiwibnciOjExMTM1LCJwYyI6MjEwMCwib3AiOjIxMDAsIm1wIjoyMTAwLCJlYyI6MjEwMCwiZ20iOjAsImVwIjpudWxsLCJwciI6MjM1NzE0LCJydCI6MiwicnMiOjUwMCwic2EiOiI4MSIsInNiIjoiaS0wZDg4M2Q4OTRlMGRmYjk3NCIsInNwIjoyMzE2NTYsInN0IjoxMjM0NTU1LCJ1ayI6IjUwZTQxZWE4LTA3NjItNDI0YS05YjZjLTdhMWRlY2VjN2E1NSIsInRzIjoxNzU1MjQ2MzMwNDI2LCJiZiI6dHJ1ZSwicG4iOiIxLTItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQXNpYS9TaW5nYXBvcmUiLCJmY3BjIjpmYWxzZSwiZXQiOjIwNX0%26s%3Dn30OrtMgCA44t2twwS2CK8HUPGg#11755
"RM 406,000","Platinum South Valley, Bandar Tasik Selatan, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)",947 sqft,3 Beds,2 Baths,Completion: 2028,Leasehold,https://www.propertyguru.com.my/property-listing/psv-2-residences-for-sale-by-william-chan-60231497
"RM 550,000","18 Jalan Pinang, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)",750 sqft,2 Beds,2 Baths,Completion: 2019,Freehold,https://www.propertyguru.com.my/property-listing/sky-suites-klcc-for-sale-by-alyssa-ong-42901438
"RM 8,800,000","Persiaran KLCC, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","3,700 sqft",5 Beds,4 Baths,Completion: 2009,Freehold,https://www.propertyguru.com.my/property-listing/the-binjai-on-the-park-for-sale-by-xiang-lee-60160010
