Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 13,499,999","Jalan Kiara 2, Mont Kiara, Kuala Lumpur","Listed on Aug 15, 2025 (11m ago)","7,200 sqft (floor),",5 Beds,6 Baths,Completion: 2008,Freehold,https://www.propertyguru.com.my/property-listing/the-residence-for-sale-by-leon-wong-43456648
"RM 4,100,000","Damansara Heights, Damansara Heights, Kuala Lumpur","Listed on Aug 15, 2025 (1h ago)","4,500 sqft (floor),",7 Beds,6 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/damansara-heights-for-sale-by-jason-lee-42986728
"RM 2,099,000","Jalan Durian, Taman Cheras, Cheras, Kuala Lumpur","Listed on Aug 15, 2025 (1h ago)","3,000 sqft (floor),",5 Beds,3 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/taman-cheras-for-sale-by-david-wong-lai-kwong-41094224
"RM 3,400,000","TAMAN YARL, KUALA LUMPUR., Taman Yarl, Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Listed on Aug 15, 2025 (2h ago)","4,800 sqft (floor),",6 Beds,8 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/taman-yarl-kuala-lumpur-for-sale-by-daniel-42608848
"RM 11,000,000","Jalan Nusa, Taman Duta, Bukit Tunku (Kenny Hills), Kuala Lumpur","Listed on Aug 15, 2025 (4h ago)","5,500 sqft (floor),",5 Beds,5 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/bukit-tunku-for-sale-by-joshua-selvan-43386115
"RM 528,000","Mutiara Bukit Jalil, Bukit Jalil, Kuala Lumpur","Listed on Aug 15, 2025 (4h ago)","1,898 sqft",4 Beds,3 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/bungalow-semi-d-duplex-condo-fully-furnished-walk-to-mrt-with-l-shape-balcony-from-1110sqft-2500sqft-for-sale-by-rebecca-chew-43012923
"RM 16,000,000","Damansara Heights, Damansara Heights, Kuala Lumpur","Listed on Aug 15, 2025 (5h ago)","10,000 sqft (floor),",7 Beds,9 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/bukit-damansara-for-sale-by-james-thong-60364775
"RM 25,000,000","Damansara Heights, Damansara Heights, Kuala Lumpur","Listed on Aug 15, 2025 (5h ago)","12,000 sqft (floor),",6 Beds,8 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/damansara-heights-for-sale-by-james-thong-60364786
"RM 8,000,000","Damansara Heights, Kuala Lumpur","Listed on Aug 15, 2025 (5h ago)","5,000 sqft (floor),",7 Beds,4 Baths,Bungalow,,https://www.propertyguru.com.my/property-listing/damansara-heights-for-sale-by-james-thong-42392175
"RM 5,750,000","Damansara Heights, Damansara Heights, Kuala Lumpur","Listed on Aug 15, 2025 (5h ago)","3,500 sqft (floor),",4 Beds,3 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/bukit-damansra-for-sale-by-james-thong-60364906
"RM 5,200,000","Persiaran Bruas, Damansara Heights, Damansara Heights, Kuala Lumpur","Listed on Aug 15, 2025 (7h ago)","5,000 sqft (floor),",5 Beds,7 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/bungalow-at-damansara-heights-for-sale-by-jason-lee-42798883
"RM 2,200,000","31 Jalan Budiman 10, Bandar Tun Razak, Cheras, Kuala Lumpur","Listed on Aug 14, 2025 (19h ago)","4,500 sqft (floor),",5 Beds,4 Baths,Bungalow,Leasehold,https://www.propertyguru.com.my/property-listing/taman-mulia-for-sale-by-annie-chai-43105633
"RM 500,000","KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 14, 2025 (21h ago)","1,109 sqft",3 Beds,2 Baths,Completion: 2027,Freehold,https://www.propertyguru.com.my/property-listing/klcc-guarantee-return-freehold-roi-10-15-0-downpayment-for-3rd-home-buyer-for-sale-by-kevin-ooi-60363538
"RM 500,000","KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 14, 2025 (22h ago)","1,110 sqft",3 Beds,2 Baths,Completion: 2026,,https://www.propertyguru.com.my/property-listing/klcc-view-airbnb-roi-13-monthly-profit-15k-foreigner-0-downpayment-investment-for-sale-by-kevin-ooi-43439186
"RM 5,480,000","Lorong Kemaris, Taman Bandaraya, Bangsar, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","5,498 sqft (floor),",5 Beds,4 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/bungalow-at-bangsar-for-sale-by-jason-lee-42352141
"RM 550,000","KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)",910 sqft,3 Beds,2 Baths,Completion: 2027,Freehold,https://www.propertyguru.com.my/property-listing/klcc-klcc-for-sale-by-kevin-ooi-60360408
"RM 480,000","Mont Kiara, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","1,100 sqft",3 Beds,2 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/mont-kiara-cheapest-condo-3-4room-from-rm500k-foreigner-friendly-for-sale-by-leon-chia-42850161
"RM 330,000","Bandar Tun Razak, Cheras, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)",900 sqft,3 Beds,2 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/near-lrt-mrt-ktm-from-1600-month-furnished-unit-cashback-2-3room-high-roi-for-sale-by-leon-chia-42850292
"RM 480,000","Mont Kiara, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","1,000 sqft",3 Beds,2 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/foreigner-can-buy-solaris-condo-3-4-room-500-2000sqft-furnished-unit-zero-d-p-for-sale-by-leon-chia-42851470
"RM 600,000","KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","1,200 sqft",2 Beds,2 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/foreigner-3rd-home-buyer-0-downpayment-freehold-hotel-suite-condo-higher-roi-link-mrt-for-sale-by-leon-chia-42861361
"RM 600,000","KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","1,500 sqft",2 Beds,2 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/klcc-sky-jacuzzi-hotel-suite-condo-foreigner-can-buy-freehold-near-mrt-for-sale-by-leon-chia-42850242
"RM 400,000","Taman Maluri, Cheras, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","1,300 sqft",3 Beds,2 Baths,Completion: 2026,Freehold,https://www.propertyguru.com.my/property-listing/cheras-luxury-freehold-mrt-condo-own-stay-invest-cash-rebate-up-to180k-furnished-for-sale-by-leon-chia-43096996
"RM 330,000","Taman Maluri, Cheras, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","1,092 sqft",3 Beds,2 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/kl-city-rental-cover-instalment-roi10-walk-to-mrt-lrt-ktm-provide-shuttle-bus-for-sale-by-wei-nie-43061893
"RM 13,500,000","Jalan Setia Bakti, Damansara Heights, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","9,551 sqft (floor),",5 Beds,7 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/bungalow-at-damansara-heights-for-sale-by-jason-lee-36155350
"RM 4,800,000","Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","6,600 sqft (floor),",8 Beds,5 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/taman-tun-dr-ismail-for-sale-by-yin-peng-37177004
