Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 220,000","Jalan 4/27a, Seksyen 2 Wangsa Maju, Wangsa Maju, Kuala Lumpur","Listed on Aug 15, 2025 (5h ago)",653 sqft,2 Beds,1 Bath,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/seksyen-2-wangsa-maju-flat-for-sale-by-foong-yun-60360992
"RM 350,600
Starting from","Seksyen 14, Shah Alam, Selangor","Listed on Jul 17, 2025 (4w ago)",550 sqft,1 Bed,1 Bath,Service Residence,Leasehold,https://www.propertyguru.com.my/property-listing/project/linkar-52-sa-sentral-for-sale-by-perbadanan-kemajuan-negeri-selangor-pkns-60094014?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2Ijo2MTI5OTE5LCJhdCI6MTYzLCJidCI6MCwiY20iOjY1ODMwMDI0NCwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3NTc0MTgxMDMsImRpIjoiNjA0YjkyOGI4YmIxNDM0M2ExMmViZTQ1NjFiYjNmMDYiLCJkaiI6MCwiaWkiOiIxYjVjZmNiOWJkNWE0OTIxOGM5ZjVkYTNkMTRjYmU0MCIsImRtIjozLCJmYyI6OTMxNzI0MjE0LCJmbCI6ODYxMjAwNjgwLCJpcCI6IjYwLjQ4LjE2OC45MyIsImt3IjoiNThqb2ssbGlzdGluZy1yZXNpZGVudGlhbCxsaXN0aW5nLXNhbGUtcHJvcC1uIiwibWsiOiJsaXN0aW5nLXNhbGUtcHJvcC1uLDU4am9rIiwibnciOjExMTM1LCJwYyI6MjEwMCwib3AiOjIxMDAsIm1wIjoyMTAwLCJlYyI6MjEwMCwiZ20iOjAsImVwIjpudWxsLCJwciI6MjM1NzE0LCJydCI6MiwicnMiOjUwMCwic2EiOiI4MSIsInNiIjoiaS0wZTQwMWMxMzJhMTllY2Y3ZSIsInNwIjozNzI4MDUsInN0IjoxMjM0NTU1LCJ1ayI6ImQ2NGI0OGI5LWU1NjAtNGE2MC04MTFhLTVhOWZkYzcyYTQxNCIsInRzIjoxNzU1MjQ2ODkzNjU5LCJiZiI6dHJ1ZSwicG4iOiIxLTItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQXNpYS9TaW5nYXBvcmUiLCJmY3BjIjpmYWxzZSwiZXQiOjIwNX0%26s%3DoYZ5vbQqkwNXUNUTCpDgm9_pnKI#11755
"RM 145,000","Taman Bukit Segar, Taman Bukit Segar, Cheras, Kuala Lumpur","Listed on Aug 12, 2025 (2d ago)",685 sqft,3 Beds,1 Bath,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/taman-bukit-segar-for-sale-by-adi-mohamad-60317878
"RM 450,000","Jalan Gelang, Pudu, KL City Centre, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","1,227 sqft",3 Beds,2 Baths,Flat,Freehold,https://www.propertyguru.com.my/property-listing/bangunan-tai-seng-for-sale-by-meifen-low-60269505
"RM 175,000","- Off Lorong D1/5, Desa Aman Puri, Kepong, Kuala Lumpur","Listed on Aug 15, 2025 (1h ago)",650 sqft,3 Beds,2 Baths,Flat,Freehold,https://www.propertyguru.com.my/property-listing/desa-satu-for-sale-by-wesley-fu-500026449
"RM 160,000","- Off Lorong D1/5, Desa Aman Puri, Kepong, Kuala Lumpur","Listed on Aug 15, 2025 (1h ago)",650 sqft,3 Beds,2 Baths,Flat,Freehold,https://www.propertyguru.com.my/property-listing/desa-satu-for-sale-by-wesley-fu-500026426
"RM 380,000
Starting from","Taman Len Seng, Taman Connaught, Cheras, Kuala Lumpur","Listed on May 27, 2025 (2mo ago)",452 sqft,1 Bed,1 Bath,Completion: 2027,Freehold,https://www.propertyguru.com.my/property-listing/project/the-connaught-one-for-sale-by-uem-sunrise-berhad-37358011?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2Ijo2MTAyNzkwLCJhdCI6MTYzLCJidCI6MCwiY20iOjY1MTEyOTQ2MCwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3NDE4NjUxNTgsImRpIjoiNjA0YjkyOGI4YmIxNDM0M2ExMmViZTQ1NjFiYjNmMDYiLCJkaiI6MSwiaWkiOiIxZjUwMDllMTg2ODQ0MTRlOWRjMjFmODg0NmE5NDkxOSIsImRtIjozLCJmYyI6OTE2MTU2NDg3LCJmbCI6ODUzOTkzOTU1LCJpcCI6IjYwLjQ4LjE2OC45MyIsImt3IjoiNThqb2ssbGlzdGluZy1yZXNpZGVudGlhbCxsaXN0aW5nLXNhbGUtcHJvcC1uIiwibWsiOiJsaXN0aW5nLXNhbGUtcHJvcC1uLDU4am9rIiwibnciOjExMTM1LCJwYyI6MjEwMCwib3AiOjIxMDAsIm1wIjoyMTAwLCJlYyI6MjEwMCwiZ20iOjAsImVwIjpudWxsLCJwciI6MjM1NzE0LCJydCI6MiwicnMiOjUwMCwic2EiOiI4MSIsInNiIjoiaS0wZTQwMWMxMzJhMTllY2Y3ZSIsInNwIjozNzI4MDUsInN0IjoxMjM0NTU1LCJ1ayI6ImQ2NGI0OGI5LWU1NjAtNGE2MC04MTFhLTVhOWZkYzcyYTQxNCIsInRzIjoxNzU1MjQ2ODkzNjYwLCJiZiI6dHJ1ZSwicG4iOiIxLTItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQXNpYS9TaW5nYXBvcmUiLCJmY3BjIjpmYWxzZSwiZXQiOjIwNX0%26s%3Dzv5fhxKhsWhks5M14LG5JgOtFqQ#4567
"RM 180,000","Jalan Au3/1, Off Au3, Taman Keramat, Keramat, Kuala Lumpur","Listed on Aug 15, 2025 (1h ago)",550 sqft,2 Beds,1 Bath,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/flat-pkns-au3-for-sale-by-md-syahrul-faez-bin-manan-60365838
"RM 210,000","Jalan Taman Melati 8 Off Jalan Taman Melati, Taman Melati, Setapak, Kuala Lumpur","Listed on Aug 15, 2025 (2h ago)",550 sqft,2 Beds,1 Bath,Flat,Freehold,https://www.propertyguru.com.my/property-listing/flat-taman-melati-blok-c-for-sale-by-norfaizah-ahmad-60032740
"RM 160,000","Jalan 5/27A (And 11 Others), Wangsa Maju, Kuala Lumpur","Listed on Aug 15, 2025 (2h ago)",550 sqft,2 Beds,1 Bath,Flat,Freehold,https://www.propertyguru.com.my/property-listing/seksyen-4-wangsa-maju-flat-for-sale-by-paul-chia-42745793
