Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 480,000","Mont Kiara, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)",766 sqft,2 Beds,2 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/condo-first-home-buyer-starting-480k-2-to-4-rooms-free-furnish-mrt-ktm-freehold-for-sale-by-eve-ma-60248723
"RM 3,650,000","1 Jalan Dutamas 1, Solaris Dutamas, Sri Hartamas, Kuala Lumpur","Listed on Aug 15, 2025 (16h ago)","4,906 sqft (floor),",5 Beds,6 Baths,Completion: 2007,Freehold,https://www.propertyguru.com.my/property-listing/duta-tropika-for-sale-by-clement-chan-34142549
"RM 3,490,000","1 Jalan Dutamas 1, Solaris Dutamas, Sri Hartamas, Kuala Lumpur","Listed on Aug 14, 2025 (19h ago)","4,000 sqft (floor),",6 Beds,5 Baths,Completion: 2007,Freehold,https://www.propertyguru.com.my/property-listing/duta-tropika-for-sale-by-sean-tan-43383876
"RM 1,270,000","Bandar Menjalara, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","3,400 sqft (floor),",5 Beds,6 Baths,Completion: 2024,Freehold,https://www.propertyguru.com.my/property-listing/new-freehold-40x90-semi-d-2-sty-for-sale-by-yc-wong-37437666
"RM 3,880,000","Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","3,500 sqft (floor),",5 Beds,3 Baths,Semi-Detached House,,https://www.propertyguru.com.my/property-listing/taman-tun-dr-ismail-for-sale-by-yin-peng-42820033
"RM 560,000","Bukit Jalil Golf, Bukit Jalil, Kuala Lumpur","Listed on Aug 13, 2025 (1d ago)","1,859 sqft",4 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/freehold-penthouse-sky-semi-condo-bukit-jalil-kinrara-for-sale-by-harry-choong-43264747
"RM 530,000","Bukit Jalil Golf, Bukit Jalil, Kuala Lumpur","Listed on Aug 13, 2025 (1d ago)","1,644 sqft",4 Beds,3 Baths,Completion: 2026,,https://www.propertyguru.com.my/property-listing/big-l-shaped-balcony-bukit-jalil-low-density-link-bridge-to-mrt-cash-back-for-sale-by-harry-choong-60329695
"RM 400,000","Taman Connaught, Cheras, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","1,000 sqft",3 Beds,2 Baths,Semi-Detached House,,https://www.propertyguru.com.my/property-listing/cheras-300k-fully-furnished-with-mrt-for-sale-by-zoey-wong-42633363
"RM 3,000,000","Jalan Dutamas Cempaka 1, Sri Hartamas, Kuala Lumpur","Listed on Aug 11, 2025 (3d ago)","4,000 sqft (floor),",7 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/changkat-kiara-for-sale-by-mohd-syahidie-42553031
"RM 3,300,000","Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Bangsar Baru, Bangsar, Kuala Lumpur","Listed on Aug 10, 2025 (5d ago)","3,200 sqft (floor),",3 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/bangsar-jalan-tempinis-for-sale-by-ali-idris-60343945
"RM 460,000","Bukit Jalil Golf, Bukit Jalil, Kuala Lumpur","Listed on Aug 09, 2025 (5d ago)","1,701 sqft",4 Beds,3 Baths,Completion: 2026,Freehold,https://www.propertyguru.com.my/property-listing/bukit-jalil-sky-bungalow-style-big-layout-duplex-l-shaped-balcony-link-bridge-to-mrt-for-sale-by-harry-choong-43285987
"RM 460,000","Bukit Jalil Golf, Bukit Jalil, Kuala Lumpur","Listed on Aug 09, 2025 (5d ago)","1,801 sqft",4 Beds,3 Baths,Completion: 2026,Freehold,https://www.propertyguru.com.my/property-listing/sky-bungalow-concept-bukit-jalil-duplex-4-bedrooms-direct-mrt-link-for-sale-by-harry-choong-43298514
"RM 570,000","Taman Impian Indah, Bukit Jalil, Kuala Lumpur","Listed on Aug 09, 2025 (5d ago)","2,367 sqft",5 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/luxury-freehold-penthouse-bukit-jalil-fully-furnished-0-downpayment-for-sale-by-harry-choong-43298073
"RM 610,000","Alam Sutera, Bukit Jalil, Kuala Lumpur","Listed on Aug 09, 2025 (5d ago)","2,316 sqft",4 Beds,3 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/freehold-smart-penthouse-sky-semi-condo-bukit-jalil-free-furnished-cashback-0dp-for-sale-by-harry-choong-60330046
"RM 1,880,000","Amberhill, Jalan K, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 08, 2025 (6d ago)","5,000 sqft (floor),",5 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/taman-melawati-for-sale-by-zheng-hong-tan-42654339
"RM 470,000","KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","1,000 sqft",3 Beds,2 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/500k-foreigner-friendly-next-to-retails-1-4-rooms-16-roi-for-sale-by-angie-tan-43380829
"RM 3,200,000","Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 14, 2025 (1d ago)","3,500 sqft (floor),",5 Beds,4 Baths,Semi-Detached House,,https://www.propertyguru.com.my/property-listing/taman-tun-dr-ismail-for-sale-by-yin-peng-41815937
"RM 5,000,000","Jalan Laman Kiara 1, Mont Kiara, Kuala Lumpur","Listed on Aug 11, 2025 (3d ago)","5,400 sqft (floor),",5 Beds,5 Baths,Completion: 2021,Freehold,https://www.propertyguru.com.my/property-listing/serene-mont-kiara-for-sale-by-bilya-ariff-42051558
"RM 5,400,000","Desa Sri Hartamas, Sri Hartamas, Kuala Lumpur","Listed on Aug 11, 2025 (3d ago)","5,900 sqft (floor),",5 Beds,6 Baths,Completion: 2009,,https://www.propertyguru.com.my/property-listing/villa-serene-kiara-for-sale-by-bilya-ariff-42647683
"RM 4,200,000","Desa Sri Hartamas, Sri Hartamas, Kuala Lumpur","Listed on Aug 11, 2025 (3d ago)","4,381 sqft (floor),",6 Beds,6 Baths,Completion: 2009,,https://www.propertyguru.com.my/property-listing/villa-serene-kiara-for-sale-by-bilya-ariff-42647404
"RM 4,500,000","1 Jalan Dutamas 1, Solaris Dutamas, Sri Hartamas, Kuala Lumpur","Listed on Aug 10, 2025 (4d ago)","4,000 sqft (floor),",5 Beds,6 Baths,Completion: 2007,Freehold,https://www.propertyguru.com.my/property-listing/duta-tropika-for-sale-by-jayce-tan-38581500
"RM 4,800,000","Jalan Kiara 3, Mont Kiara, Mont Kiara, Kuala Lumpur","Listed on Aug 10, 2025 (4d ago)","4,200 sqft (floor),",5 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/flora-murni-for-sale-by-jayce-tan-31439478
"RM 4,300,000","Jalan Sri Hartamas 1, Sri Hartamas, Kuala Lumpur","Listed on Aug 10, 2025 (4d ago)","3,800 sqft (floor),",5 Beds,6 Baths,Completion: 2008,Freehold,https://www.propertyguru.com.my/property-listing/bukit-kiara-residences-for-sale-by-jayce-tan-42495572
