Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 500,000","Jln Jalil Perkasa 1, Off Lebuhraya Bukit Jalil, Bukit Jalil, Kuala Lumpur","Listed on Aug 15, 2025 (29m ago)","689 sqft (floor),",2 Beds,2 Baths,Completion: 2020,Freehold,https://www.propertyguru.com.my/property-listing/skyluxe-on-the-park-bukit-jalil-for-sale-by-leon-yap-60225398
"RM 380,000
Starting from","Taman Len Seng, Taman Connaught, Cheras, Kuala Lumpur","Listed on May 27, 2025 (2mo ago)",452 sqft,1 Bed,1 Bath,Completion: 2027,Freehold,https://www.propertyguru.com.my/property-listing/project/the-connaught-one-for-sale-by-uem-sunrise-berhad-37358011?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2Ijo2MTAyNzkwLCJhdCI6MTYzLCJidCI6MCwiY20iOjY1MTEyOTQ2MCwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3NDE4NjUxNTgsImRpIjoiZDIyMzZkZWRkODgwNDVjNjk5MzgyNzRiMmFlNmRiMDUiLCJkaiI6MCwiaWkiOiJmN2EwZmZiN2IzMDg0M2EyOGI4YjNmOWNlODc1OTBlNyIsImRtIjozLCJmYyI6OTE2MTU2NDg3LCJmbCI6ODUzOTkzOTU1LCJpcCI6IjYwLjQ4LjE2OC45MyIsImt3IjoiNThqb2ssbGlzdGluZy1yZXNpZGVudGlhbCxsaXN0aW5nLXNhbGUtcHJvcC1uIiwibWsiOiJsaXN0aW5nLXNhbGUtcHJvcC1uLDU4am9rIiwibnciOjExMTM1LCJwYyI6MjEwMCwib3AiOjIxMDAsIm1wIjoyMTAwLCJlYyI6MjEwMCwiZ20iOjAsImVwIjpudWxsLCJwciI6MjM1NzE0LCJydCI6MiwicnMiOjUwMCwic2EiOiI4MSIsInNiIjoiaS0wOGVlOGQ0MmE4ZWMwM2E3YyIsInNwIjozMTM3NDQsInN0IjoxMjM0NTU1LCJ1ayI6ImY3MDRmMmQ4LTc0YWEtNGNiOC1iZTFjLTFkYzJlMTc2NzBhYSIsInRzIjoxNzU1MjQ3MTgwMjUxLCJiZiI6dHJ1ZSwicG4iOiIxLTItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQXNpYS9TaW5nYXBvcmUiLCJmY3BjIjpmYWxzZSwiZXQiOjIwNX0%26s%3DJGTgBPCKlU5uw0B7XugGHBqMqCk#4567
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/ekotitiwangsa-for-sale-by-ekovest-land-sdn-bhd-42508656#8230
"RM 1,690,000","- No. 3 Jalan Pinang, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 15, 2025 (37m ago)","1,626 sqft",4 Beds,4 Baths,Completion: 2007,Freehold,https://www.propertyguru.com.my/property-listing/marc-residence-for-sale-by-eric-teo-60201371
"RM 12,000,000","29 Jalan Conlay, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 15, 2025 (39m ago)","3,617 sqft",4 Beds,5 Baths,Completion: 2025,Freehold,https://www.propertyguru.com.my/property-listing/the-conlay-for-sale-by-leonnie-43314693
"RM 1,590,000","1 Jalan Sultan Ismail, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 15, 2025 (54m ago)","1,325 sqft",3 Beds,2 Baths,Completion: 2015,Freehold,https://www.propertyguru.com.my/property-listing/the-face-suites-platinum-suites-for-sale-by-sandy-low-41621748
"RM 350,600
Starting from","Seksyen 14, Shah Alam, Selangor","Listed on Jul 17, 2025 (4w ago)",550 sqft,1 Bed,1 Bath,Service Residence,Leasehold,https://www.propertyguru.com.my/property-listing/project/linkar-52-sa-sentral-for-sale-by-perbadanan-kemajuan-negeri-selangor-pkns-60094014?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2Ijo2MTI5OTE5LCJhdCI6MTYzLCJidCI6MCwiY20iOjY1ODMwMDI0NCwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3NTc0MTgxMDMsImRpIjoiZDIyMzZkZWRkODgwNDVjNjk5MzgyNzRiMmFlNmRiMDUiLCJkaiI6MSwiaWkiOiJmZDc5M2NjYWMyYTE0NjRkYmZlNDEyZTgzMThkODM5YyIsImRtIjozLCJmYyI6OTMxNzI0MjE0LCJmbCI6ODYxMjAwNjgwLCJpcCI6IjYwLjQ4LjE2OC45MyIsImt3IjoiNThqb2ssbGlzdGluZy1yZXNpZGVudGlhbCxsaXN0aW5nLXNhbGUtcHJvcC1uIiwibWsiOiJsaXN0aW5nLXNhbGUtcHJvcC1uLDU4am9rIiwibnciOjExMTM1LCJwYyI6MjEwMCwib3AiOjIxMDAsIm1wIjoyMTAwLCJlYyI6MjEwMCwiZ20iOjAsImVwIjpudWxsLCJwciI6MjM1NzE0LCJydCI6MiwicnMiOjUwMCwic2EiOiI4MSIsInNiIjoiaS0wOGVlOGQ0MmE4ZWMwM2E3YyIsInNwIjozMTM3NDQsInN0IjoxMjM0NTU1LCJ1ayI6ImY3MDRmMmQ4LTc0YWEtNGNiOC1iZTFjLTFkYzJlMTc2NzBhYSIsInRzIjoxNzU1MjQ3MTgwMjUxLCJiZiI6dHJ1ZSwicG4iOiIxLTItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQXNpYS9TaW5nYXBvcmUiLCJmY3BjIjpmYWxzZSwiZXQiOjIwNX0%26s%3Df1F-6Umg8FgibVRiNZblfs6B1FQ#11755
"RM 880,000","Jalan Changkat Hartamas, Solaris Parq, Mont Kiara, Kuala Lumpur","Listed on Aug 15, 2025 (55m ago)",721 sqft,2 Beds,1 Bath,Completion: 2022,Freehold,https://www.propertyguru.com.my/property-listing/residensi-solaris-parq-for-sale-by-sandy-low-42148339
"RM 2,047,500","29 Jalan Conlay, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 15, 2025 (1h ago)",980 sqft,1 Bed,2 Baths,Completion: 2025,Freehold,https://www.propertyguru.com.my/property-listing/the-conlay-for-sale-by-nicole-how-43366814
"RM 3,760,000","29 Jalan Conlay, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 15, 2025 (1h ago)","1,335 sqft",2 Beds,3 Baths,Completion: 2025,Freehold,https://www.propertyguru.com.my/property-listing/the-conlay-for-sale-by-nicole-how-43363890
