Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 450,000","Taman Maluri, Cheras, Kuala Lumpur","Listed on Aug 15, 2025 (2h ago)","1,050 sqft",3 Beds,2 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/velocity-luxury-condo-only-rm1900-get-3rooms-2bath-cashback-up-to-50k-for-sale-by-berly-ting-60265365
"RM 488,000","Sri Hartamas, Kuala Lumpur, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)",766 sqft,2 Beds,2 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/condo-5mins-to-publika-freehold-2rooms-480k-free-semi-furnished-cas-back-mrt-ktm-for-sale-by-eve-ma-60248518
"RM 480,000","Taman Sri Sinar, Segambut, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)",766 sqft,2 Beds,2 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/condominium-freehold-segambut-kepong-480k-2-and-3-rooms-free-furnished-mrt-ktm-cash-back-for-sale-by-eve-ma-60249202
"RM 480,000","Taman Ehsan, Kepong, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)",766 sqft,2 Beds,2 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/condominium-freehold-2-to-3-rooms-480k-free-furnished-zero-downpayment-mrt-ktm-cash-back-for-sale-by-eve-ma-60249675
"RM 540,000","Mont Kiara, Kuala Lumpur","Listed on Aug 15, 2025 (3h ago)",894 sqft,3 Beds,2 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/condo-5mins-to-solaris-freehold-3rooms-540k-free-furnished-mrt-ktm-cash-back-for-sale-by-eve-ma-60248892
"RM 460,800","Taman Bukit Angkasa, Kampung Kerinchi (Bangsar South), Kuala Lumpur","Listed on Aug 15, 2025 (4h ago)","1,088 sqft",3 Beds,2 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/condo-only-rm460k-fully-furnished-high-rental-roi-0-dp-5-min-to-mid-valley-for-sale-by-roxanne-ng-43185263
"RM 545,300","Mont Kiara, Kuala Lumpur","Listed on Aug 15, 2025 (4h ago)","1,169 sqft",4 Beds,3 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/condo-5-min-to-solaris-freehold-greenery-landscape-condo-rapid-speed-ramp-3r2b-rm545k-for-sale-by-roxanne-ng-60093371
"RM 1,750,000","Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 15, 2025 (4h ago)","2,000 sqft (floor),",3 Beds,2 Baths,1-storey Terraced House,,https://www.propertyguru.com.my/property-listing/taman-tun-dr-ismail-for-sale-by-yin-peng-60365182
"RM 1,650,000","Jalan Tasik 5 Jalan Tasik, Taman Tasik Damai, Sungai Besi, Kuala Lumpur","Listed on Aug 15, 2025 (5h ago)","3,210 sqft (floor),",5 Beds,6 Baths,Completion: 2015,Leasehold,https://www.propertyguru.com.my/property-listing/lake-fields-for-sale-by-carmen-tan-60129474
"RM 1,500,000","Jalan 11/27a, Seksyen 5 Wangsa Maju, Wangsa Maju, Kuala Lumpur","Listed on Aug 15, 2025 (6h ago)","2,500 sqft (floor),",6 Beds,4 Baths,2-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/section-5-wangsa-maju-for-sale-by-azila-ismail-60303566
