Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 590,000","Jalan 8D/x, Setapak, Kuala Lumpur","Listed on Aug 09, 2025 (6d ago)","1,760 sqft (floor),",4 Beds,2 Baths,Townhouse,Leasehold,https://www.propertyguru.com.my/property-listing/setapak-indah-for-sale-by-eyvon-chew-37576143
"RM 650,000","Taman Pandan Indah, Ampang, Kuala Lumpur","Listed on Aug 15, 2025 (4h ago)","2,860 sqft",3 Beds,2 Baths,Townhouse,Leasehold,https://www.propertyguru.com.my/property-listing/townhouse-pandan-indah-for-sale-by-fiza-ibrahim-60365135
"RM 3,150,000","Sri Bukit Persekutuan, Bukit Persekutuan, Bangsar, Kuala Lumpur","Listed on Aug 15, 2025 (5h ago)","3,348 sqft (floor),",5 Beds,4 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/westbank-terrace-sri-bukit-persekutuan-bangsar-kl-auction-date-2nd-sep-25-for-sale-by-peter-yap-60365091
"RM 750,000","Taman Setapak Indah, Setapak, Kuala Lumpur","Listed on Aug 15, 2025 (5h ago)","2,500 sqft (floor),",4 Beds,2 Baths,Townhouse,Leasehold,https://www.propertyguru.com.my/property-listing/taman-setapak-indah-for-sale-by-zheng-hong-tan-43105039
"RM 570,000","Taman Setapak Indah, Setapak, Kuala Lumpur","Listed on Aug 15, 2025 (6h ago)","1,916 sqft (floor),",4 Beds,2 Baths,Townhouse,Leasehold,https://www.propertyguru.com.my/property-listing/taman-setapak-indah-for-sale-by-vincent-tan-60364743
"RM 718,000","Jln 2/3C, Jalan Ipoh, Kuala Lumpur","Listed on Aug 15, 2025 (6h ago)","1,815 sqft",3 Beds,3 Baths,Townhouse,Leasehold,https://www.propertyguru.com.my/property-listing/villa-mas-for-sale-by-bryan-ching-60324360
"RM 1,700,000","Jalan 6/4, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 15, 2025 (7h ago)","2,793 sqft",5 Beds,5 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/sunway-montana-for-sale-by-salmi-binti-aripin-60364668
"RM 1,400,000","Bukit Bandaraya, Bangsar, Kuala Lumpur","Listed on Aug 15, 2025 (11h ago)","2,000 sqft (floor),",3 Beds,2 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/townhouse-at-bukit-bandaraya-for-sale-by-kk-43245186
"RM 1,400,000","Jalan 1/80B, Bukit Bandaraya, Bangsar, Kuala Lumpur","Listed on Aug 14, 2025 (20h ago)","3,000 sqft (floor),",5 Beds,3 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/townhouse-at-bukit-bandaraya-for-sale-by-yw-quek-60363662
"RM 680,000","Seksyen 2 Wangsa Maju, Wangsa Maju, Kuala Lumpur","Listed on Aug 14, 2025 (22h ago)","2,540 sqft (floor),",6 Beds,3 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/wangsa-metroview-for-sale-by-kin-500024635
