Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 3,680,000","Puchong, Selangor","Listed on Aug 15, 2025 (1h ago)","5,200 sqft (floor),",7 Beds,7 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/bandar-kinrara-for-sale-by-chai-my-40751052
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/putra-heights-the-residences-for-sale-by-sime-darby-property-berhad-60148324#11778
"RM 435,000","Pjs 4, Petaling Jaya, Selangor","Listed on Aug 15, 2025 (2h ago)","1,000 sqft",3 Beds,2 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/walking-distance-to-sunway-condo-monthly-rm1-700-rental-rm3-500-freehold-extra-rebate-30-for-sale-by-berly-ting-43480021
"RM 425,770","SS15, Subang Jaya, Selangor","Listed on Aug 15, 2025 (3h ago)","1,000 sqft",3 Beds,2 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/walking-distance-to-sunway-condo-monthly-rm1-700-rental-rm3-500-freehold-extra-rebate-30-for-sale-by-berly-ting-60024090
"RM 4,500,000","Unnamed Road, Country Heights, Kajang, Selangor","Listed on Aug 15, 2025 (3h ago)","4,500 sqft (floor),",5 Beds,8 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/country-heights-kajang-for-sale-by-jaden-yap-60196237
"RM 3,160,000","Jalan Senyum Bintang, Country Heights, Kajang, Selangor","Listed on Aug 15, 2025 (4h ago)","6,076 sqft (floor),",7 Beds,6 Baths,Completion: 2009,Freehold,https://www.propertyguru.com.my/property-listing/widuri-villas-for-sale-by-herman-lokman-60302190
"RM 2,200,000","jalan pulau angsa u10/2, Bukit Jelutong, Shah Alam, Selangor","Listed on Aug 15, 2025 (4h ago)","5,261 sqft (floor),",6 Beds,7 Baths,Completion: 2020,Leasehold,https://www.propertyguru.com.my/property-listing/60x90-brand-new-corner-bungalow-6r7b-shah-alam-u10-bukit-jelutong-for-sale-by-sean-chia-40406579
"RM 3,900,000","Bukit Jelutong, Shah Alam, Selangor","Listed on Aug 15, 2025 (4h ago)","6,500 sqft (floor),",6 Beds,6 Baths,Bungalow,Leasehold,https://www.propertyguru.com.my/property-listing/3-storey-modern-glass-bungalow-perdana-heights-u10-shah-alam-for-sale-by-sean-chia-43276777
"RM 3,700,000","Jalan Merah Mawar U9/6, Kayangan Heights, Shah Alam, Selangor","Listed on Aug 15, 2025 (4h ago)","8,900 sqft (floor),",7 Beds,7 Baths,Bungalow,Leasehold,https://www.propertyguru.com.my/property-listing/kayangan-heights-for-sale-by-sean-chia-40383895
"RM 908,000","Bandar Bukit Raja, Klang, Selangor","Listed on Aug 15, 2025 (4h ago)","2,000 sqft (floor),",4 Beds,3 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/brand-new-house-free-mot-legalfees-2sty-40x70-link-bungalow-house-klang-for-sale-by-sean-chia-37896712
"RM 999,000","Jalan Dato' Amar, Kawasan 6, Kawasan 8, Klang, Selangor","Listed on Aug 15, 2025 (6h ago)","3,200 sqft (floor),",4 Beds,4 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/single-storey-bungalow-jalan-dato-amar-klang-for-sale-by-azila-ismail-43345684
"RM 1,500,000","29 Jalan Bunga Mawar 2/5, Shah Alam, Selangor","Listed on Aug 15, 2025 (6h ago)","3,000 sqft (floor),",6 Beds,4 Baths,Bungalow,Leasehold,https://www.propertyguru.com.my/property-listing/section-2-for-sale-by-azila-ismail-41727091
"RM 799,000","Taman Subang Bestari, Sungai Buloh, Selangor","Listed on Aug 15, 2025 (6h ago)","2,900 sqft (floor),",4 Beds,3 Baths,Bungalow,Leasehold,https://www.propertyguru.com.my/property-listing/beautiful-1-storey-bungalow-seksyen-u6-desa-subang-permai-for-sale-by-syamsul-ilham-41464896
"RM 2,300,000","SS 3, Taman Subang, Petaling Jaya, Selangor","Listed on Aug 15, 2025 (6h ago)","2,500 sqft (floor),",6 Beds+2,4 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/kelana-jaya-for-sale-by-syamsul-ilham-500020488
"RM 2,280,000","Jalan Merah Mawar U9/6, Kayangan Heights, Shah Alam, Selangor","Listed on Aug 15, 2025 (8h ago)","6,000 sqft (floor),",7 Beds,7 Baths,Bungalow,Leasehold,https://www.propertyguru.com.my/property-listing/kayangan-heights-for-sale-by-joey-koh-40828089
"RM 1,656,000","Jalan Tijani 1/B, Ampang, Selangor","Listed on Aug 14, 2025 (17h ago)","3,778 sqft (floor),",6 Beds,6 Baths,Completion: 2015,Leasehold,https://www.propertyguru.com.my/property-listing/tijani-ukay-for-sale-by-mohd-syahidie-60252488
"RM 1,950,000","Jalan Mahkota 1, Kajang, Selangor","Listed on Aug 14, 2025 (22h ago)","4,753 sqft (floor),",5 Beds,6 Baths,Completion: 2014,Freehold,https://www.propertyguru.com.my/property-listing/banyan-close-for-sale-by-zarif-zahisham-60232952
"RM 2,480,000","Jalan Equine 3, Taman Equine, Seri Kembangan, Selangor","Listed on Aug 14, 2025 (22h ago)","4,983 sqft (floor),",4 Beds,3 Baths,Bungalow,Leasehold,https://www.propertyguru.com.my/property-listing/taman-equine-for-sale-by-kent-hui-lau-60323816
"RM 3,800,000","Persiaran Gamuda Gardens 1, Bandar Gamuda Gardens, Rawang, Selangor","Listed on Aug 14, 2025 (22h ago)","6,800 sqft (floor),",7 Beds,8 Baths,Completion: 2025,Leasehold,https://www.propertyguru.com.my/property-listing/monarc-gamuda-gardens-esteem-for-sale-by-daniel-yap-60156096
"RM 920,000","Jalan Ngp 1/2, Rawang, Selangor","Listed on Aug 14, 2025 (23h ago)","3,498 sqft (floor),",4 Beds,4 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/new-green-park-rawang-for-sale-by-bill-chia-500024284
"RM 2,780,000","Persiaran Putra Perdana, Putra Heights, Subang Jaya, Selangor","Listed on Aug 14, 2025 (1d ago)","4,500 sqft (floor),",6 Beds+1,6 Baths,Completion: 2011,Freehold,https://www.propertyguru.com.my/property-listing/royale-palms-for-sale-by-kc-hong-500018467
"RM 3,400,000","Jalan Wira Mutiara, Bandar Sungai Long, Selangor","Listed on Aug 14, 2025 (1d ago)","8,249 sqft (floor),",8 Beds,8 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/wira-mutiara-for-sale-by-shanny-tan-33826288
"RM 619,000","Bandar Country Homes, Rawang, Selangor","Listed on Aug 14, 2025 (1d ago)","3,150 sqft (floor),",5 Beds,4 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/desa-3-bandar-country-homes-rawang-for-sale-by-david-lee-43407991
"RM 2,800,000","Seksyen 11, Shah Alam, Selangor","Listed on Aug 14, 2025 (1d ago)","4,360 sqft (floor),",6 Beds,7 Baths,Bungalow,,https://www.propertyguru.com.my/property-listing/cul-de-sac-2-1-2-storey-bungalow-in-super-elite-neighbourhood-seksyen-11-for-sale-by-ridhwan-razak-60146489
"RM 3,600,000","Shah Alam sekyen 9, Seksyen 9, Shah Alam, Selangor","Listed on Aug 14, 2025 (1d ago)","6,000 sqft (floor),",9 Beds,10 Baths,Bungalow,Leasehold,https://www.propertyguru.com.my/property-listing/3-5-storey-bungalow-super-big-land-at-prime-area-for-sale-by-ridhwan-razak-60146822
"RM 9,000,000","Country Heights, Kajang, Selangor","Listed on Aug 14, 2025 (1d ago)","15,000 sqft (floor),",10 Beds,10 Baths,Bungalow,,https://www.propertyguru.com.my/property-listing/country-heights-kajang-for-sale-by-adi-mohamad-60360426
"RM 3,500,000","Jalan Rakan 9, Bandar Sungai Long, Selangor","Listed on Aug 13, 2025 (1d ago)","6,000 sqft (floor),",6 Beds+1,8 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/bukit-suria-for-sale-by-shanny-tan-500021867
"RM 3,800,000","Saujana Impian, Kajang, Selangor","Listed on Aug 13, 2025 (1d ago)","5,000 sqft (floor),",6 Beds,7 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/saujana-impian-for-sale-by-joey-ng-60358794
"RM 3,100,000","Jalan Setia Nusantara, Setia Eco Park, Setia Alam, Selangor","Listed on Aug 13, 2025 (2d ago)","5,800 sqft (floor),",7 Beds,7 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/setia-eco-park-setia-alam-for-sale-by-aizam-ahmad-42872271
"RM 5,900,000","Persiaran Gerbang Utana, Bukit Jelutong, Shah Alam, Selangor","Listed on Aug 13, 2025 (2d ago)","8,230 sqft (floor),",6 Beds,9 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/the-enclave-bukit-jelutong-for-sale-by-jaden-yap-60136818
"RM 3,600,000","1 Lingkaran Eco Majestic, Eco Majestic, Semenyih, Selangor","Listed on Aug 13, 2025 (2d ago)","5,054 sqft (floor),",6 Beds,7 Baths,Completion: 2017,Freehold,https://www.propertyguru.com.my/property-listing/eco-majestic-for-sale-by-yannick-ng-60118914
"RM 3,300,000","Setia Alam, Selangor","Listed on Aug 13, 2025 (2d ago)","3,523 sqft (floor),",6 Beds,5 Baths,Completion: 2022,Freehold,https://www.propertyguru.com.my/property-listing/cora-eco-ardence-for-sale-by-yannick-ng-60118928
"RM 1,299,000","Jalan Desa Permai, Bandar Sungai Long, Selangor","Listed on Aug 12, 2025 (2d ago)","4,200 sqft (floor),",5 Beds,7 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/2-storey-bungalow-bandar-sungai-long-for-sale-by-polly-lew-42448154
"RM 3,790,000","Jalan Eco Majestic, Semenyih, Selangor","Listed on Aug 12, 2025 (2d ago)","5,000 sqft (floor),",5 Beds,6 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/stoneridge-bungalow-78-x95-eco-majestic-semenyih-for-sale-by-polly-lew-39723340
"RM 2,290,000","Jalan Shahbabdar, Cheras, Selangor","Listed on Aug 12, 2025 (2d ago)","4,600 sqft (floor),",6 Beds,6 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/2-storey-bungalow-bandar-mahkota-cheras-for-sale-by-polly-lew-39806814
"RM 3,130,000","Jalan Kelab Golf, Seksyen 13, Shah Alam, Selangor","Listed on Aug 12, 2025 (3d ago)","7,500 sqft (floor),",5 Beds,5 Baths,Completion: 2000,Leasehold,https://www.propertyguru.com.my/property-listing/kgsaas-kelab-golf-sultan-abdul-aziz-shah-seksyen-13-shah-alam-for-sale-by-muin-mn-60352938
"RM 1,800,000","Jalan 18/16, Taman Kanagapuram, Petaling Jaya, Taman Kanagapuram, Petaling Jaya, Selangor","Listed on Aug 12, 2025 (3d ago)","1,973 sqft (floor),",7 Beds,5 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/bungalow-petaling-jaya-seksyen-18-for-sale-by-kent-fatt-60042729
"RM 2,200,000","Jalan Padang 4/48, Seksyen 4, Petaling Jaya, Sea Park, Petaling Jaya, Selangor","Listed on Aug 12, 2025 (3d ago)","3,500 sqft (floor),",5 Beds,4 Baths,Bungalow,Leasehold,https://www.propertyguru.com.my/property-listing/petaling-jaya-seksyen-4-bungalow-for-sale-by-kent-fatt-43304902
"RM 3,300,000","Taman Melawati, Ampang Jaya, Ampang, Selangor","Listed on Aug 11, 2025 (3d ago)","6,400 sqft (floor),",6 Beds,7 Baths,Completion: 2012,Freehold,https://www.propertyguru.com.my/property-listing/20trees-west-for-sale-by-mohd-syahidie-42553038
"RM 2,138,000","Jalan Sungai Rincing 32/64B, Bukit Rimau, Shah Alam, Selangor","Listed on Aug 11, 2025 (3d ago)","5,000 sqft (floor),",5 Beds,6 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/bungalow-at-bukit-rimau-for-sale-by-liza-tieo-quek-hoon-42884239
"RM 3,680,000","Cyberjaya, Selangor","Listed on Aug 10, 2025 (5d ago)","7,780 sqft (floor),",8 Beds,9 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/aspen-garden-residence-for-sale-by-norafizah-gapar-60345977
"RM 1,365,000","cahaya spk, kayangan heights, bukit bayu, Bukit Jelutong, Shah Alam, Selangor","Listed on Aug 10, 2025 (5d ago)","4,305 sqft (floor),",5 Beds,6 Baths,Completion: 2025,Leasehold,https://www.propertyguru.com.my/property-listing/new-launch-bungalow-u10-shah-alam-hilltop-2025-complete-for-sale-by-kent-lee-jing-guang-42353185
"RM 2,300,000","Jalan Taming Impian, Kajang, Selangor","Listed on Aug 10, 2025 (5d ago)","4,757 sqft (floor),",5 Beds,7 Baths,Completion: 2013,Freehold,https://www.propertyguru.com.my/property-listing/villa-safira-saujana-impian-for-sale-by-ali-idris-60104820
