Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 129,000","Flat pkns, Jalan Tupai 20/16, Seksyen 20, Shah Alam, Selangor","Listed on Aug 13, 2025 (2d ago)",552 sqft,2 Beds,1 Bath,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/flat-pkns-seksyen-20-for-sale-by-jason-lim-43134741
"RM 105,000","- Persiaran Lestari Perdana, Taman Lestari Perdana, Seri Kembangan, Selangor","Listed on Aug 12, 2025 (2d ago)",861 sqft,3 Beds,2 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/sri-indah-for-sale-by-adi-mohamad-400001445
"RM 180,000","Taman Alam Megah Taman Alam Megah, 40400 Shah Alam, Selangor, Taman Alam Megah, Shah Alam, Selangor","Listed on Aug 15, 2025 (55s ago)",605 sqft,2 Beds,1 Bath,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/flat-taman-alam-megah-for-sale-by-jason-lim-43376018
"RM 43,000","Jalan 5/6 Seksyen 5, Bandar Teknologi Kajang, Semenyih, Selangor","Listed on Aug 15, 2025 (18m ago)",549 sqft,2 Beds,1 Bath,Flat,Freehold,https://www.propertyguru.com.my/property-listing/bandar-teknologi-kajang-flat-for-sale-by-jamie-loke-43239870
"RM 645,000","Jalan BRP 1/1, Sungai Buloh, Selangor","Listed on Aug 15, 2025 (18m ago)","1,900 sqft",4 Beds,3 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/bukit-rahman-putra-for-sale-by-bob-ong-38954841
"RM 60,000","Jalan SP 1/1 Jalan Sp 1/1, Saujana Puchong, Puchong, Selangor","Listed on Aug 15, 2025 (42m ago)",650 sqft,3 Beds,2 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/seri-damai-for-sale-by-paul-lee-42971327
"RM 78,000","Jalan SP 1/1 Jalan Sp 1/1, Saujana Puchong, Puchong, Selangor","Listed on Aug 15, 2025 (42m ago)",650 sqft,3 Beds,2 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/seri-damai-for-sale-by-paul-lee-60098335
"RM 200,000","Jalan SL 11/7, Bandar Sungai Long, Selangor","Listed on Aug 15, 2025 (1h ago)",824 sqft,3 Beds,1 Bath,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/sukma-shop-for-sale-by-chloe-wong-43353209
"RM 175,000","22 Jalan Selekoh 8/2b, Seksyen 8, Shah Alam, Selangor","Listed on Aug 15, 2025 (1h ago)",592 sqft,2 Beds,1 Bath,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/flat-pkns-seksyen-8-for-sale-by-norfaizah-ahmad-60024641
"RM 150,000","Jalan Warnasari, Bandar Puncak Alam, Puncak Alam, Selangor","Listed on Aug 15, 2025 (1h ago)",760 sqft,3 Beds,2 Baths,Completion: 2010,Leasehold,https://www.propertyguru.com.my/property-listing/residensi-warnasari-3-for-sale-by-norfaizah-ahmad-60149393
"RM 200,000","- Persiaran Meranti, Bandar Sri Damansara, Selangor","Listed on Aug 15, 2025 (1h ago)",650 sqft,3 Beds,2 Baths,Flat,Freehold,https://www.propertyguru.com.my/property-listing/pangsapuri-sri-meranti-for-sale-by-norfaizah-ahmad-60306207
"RM 108,000","Jalan Cuepacs 5, Taman Koperasi Cuepacs, Cheras, Selangor","Listed on Aug 15, 2025 (1h ago)",650 sqft,3 Beds,1 Bath,Flat,Freehold,https://www.propertyguru.com.my/property-listing/taman-mewah-cheras-for-sale-by-sandy-lee-42956095
"RM 180,000","Jalan Plumbum 7/95, Seksyen 7, Seksyen 7, Shah Alam, Selangor","Listed on Aug 15, 2025 (1h ago)",756 sqft,3 Beds,2 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/flat-pkns-section-7-for-sale-by-abby-woo-60091672
"RM 160,000","Taman Desaria, Taman Desaria, Petaling Jaya, Selangor","Listed on Aug 15, 2025 (1h ago)",650 sqft,3 Beds,2 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/taman-desaria-for-sale-by-johnny-tai-39708168
"RM 179,000","Jalan Permai 2/2 Jalan Permai 1/2, Taman Puchong Permai, Taman Puchong Permai, Puchong, Selangor","Listed on Aug 15, 2025 (1h ago)",650 sqft,3 Beds,2 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/puchong-permai-for-sale-by-johnny-tai-42109564
"RM 179,000","Jalan PJS 6/6d Off Jalan Klang Lama, Desa Mentari, PJS 6, Petaling Jaya, Selangor","Listed on Aug 15, 2025 (1h ago)",650 sqft,3 Beds,2 Baths,Flat,Leasehold,https://www.propertyguru.com.my/property-listing/desa-mentari-flat-block-6-for-sale-by-johnny-tai-39705585
