Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 930,000","Aravia, Setia Ecohill, Semenyih, Selangor","Listed on Aug 15, 2025 (10m ago)","2,578 sqft (floor),",4 Beds,5 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/setia-ecohill-semi-d-36x82-for-sale-by-ck-law-43140831
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/keys-lakeside-residence-for-sale-by-glomac-berhad-42851989#11041
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/bandar-bukit-raja-lanai-lakeside-for-sale-by-sime-darby-property-berhad-43326657#11547
"RM 1,650,000","Bandar Mahkota Cheras, Cheras, Selangor","Listed on Aug 15, 2025 (39m ago)","4,267 sqft (floor),",6 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/east-park-72-bandar-mahkota-cheras-for-sale-by-shanny-tan-42452655
"RM 1,300,000","Kota Kemuning, Shah Alam, Selangor","Listed on Aug 15, 2025 (3h ago)","2,800 sqft",4 Beds,4 Baths,Semi-Detached House,,https://www.propertyguru.com.my/property-listing/just-launched-new-semi-d-house-for-sale-in-the-heart-of-kota-kemuning-for-sale-by-janet-hng-60199634
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/ara-damansara-andara-for-sale-by-sime-darby-property-ara-damansara-sdn-bhd-42110376#5723
"RM 1,300,000","Kota Kemuning, Shah Alam, Selangor","Listed on Aug 15, 2025 (3h ago)","2,800 sqft",5 Beds,4 Baths,Semi-Detached House,,https://www.propertyguru.com.my/property-listing/1-3m-semi-d-in-kota-kemuning-for-sale-by-janet-hng-39517324
"RM 720,000","Jalan Mutiara, Bandar Bukit Puchong, Taman Mutiara Indah, Puchong, Selangor","Listed on Aug 15, 2025 (4h ago)","2,000 sqft (floor),",4 Beds,3 Baths,Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/taman-mutiara-indah-puchong-semi-d-for-sale-by-evan-goh-43345831
"RM 1,280,000","2 Jalan Keluli, Shah Alam, Selangor","Listed on Aug 14, 2025 (17h ago)","3,700 sqft (floor),",5 Beds,4 Baths,Completion: 2010,Leasehold,https://www.propertyguru.com.my/property-listing/astana-idaman-desa-alam-for-sale-by-liong-han-43120719
"RM 1,590,000","Jalan Wira Heights, Wira Heights, Bandar Sungai Long, Selangor","Listed on Aug 14, 2025 (20h ago)","3,900 sqft (floor),",5 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/wira-heights-for-sale-by-shanny-tan-35927140
"RM 2,290,000","Sungai Long, Bandar Sungai Long, Selangor","Listed on Aug 14, 2025 (21h ago)","5,100 sqft (floor),",7 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/goodview-residence-bandar-sungai-long-for-sale-by-shanny-tan-60078275
"RM 1,038,800","Bandar Gamuda Gardens, Rawang, Selangor","Listed on Aug 14, 2025 (21h ago)","2,665 sqft (floor),",5 Beds,5 Baths,Completion: 2025,Leasehold,https://www.propertyguru.com.my/property-listing/valeria-garden-homes-for-sale-by-daniel-yap-60155782
"RM 1,400,000","Bukit Sungai Long, Bandar Sungai Long, Selangor","Listed on Aug 14, 2025 (22h ago)","2,500 sqft (floor),",4 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/bukit-sungai-long-for-sale-by-shanny-tan-43454403
"RM 1,500,000","Jalann Indah, Taman Taming Indah, Bandar Sungai Long, Selangor","Listed on Aug 14, 2025 (22h ago)","3,500 sqft (floor),",5 Beds,5 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/taming-indah-1-bandar-sungai-long-for-sale-by-shanny-tan-39187348
"RM 1,800,000","Bukit Sungai Long, Bandar Sungai Long, Selangor","Listed on Aug 14, 2025 (1d ago)","5,600 sqft (floor),",8 Beds,6 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/bukit-sungai-long-bandar-sungai-long-for-sale-by-shanny-tan-41655379
"RM 1,900,000","Jalan Anggerik Disa 31, Kota Kemuning, Shah Alam, Selangor","Listed on Aug 14, 2025 (1d ago)","3,200 sqft (floor),",5 Beds,5 Baths,Semi-Detached House,,https://www.propertyguru.com.my/property-listing/kota-kemuning-for-sale-by-emily-kho-60345653
"RM 1,223,000","jalan hang nadim, Alam Impian, Shah Alam, Selangor","Listed on Aug 14, 2025 (1d ago)","2,356 sqft (floor),",5 Beds,6 Baths,Completion: 2025,Freehold,https://www.propertyguru.com.my/property-listing/alam-impian-for-sale-by-terence-yap-60112846
"RM 2,350,000","Jalan Bromelia, Bandar Bukit Puchong, Puchong, Selangor","Listed on Aug 14, 2025 (1d ago)","3,900 sqft (floor),",6 Beds,7 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/bromelia-bukit-puchong-for-sale-by-john-lee-43326373
"RM 2,300,000","No. 1 Jalan Ipoh-Rawang, KM-20, Taman Rekreasi Templer, Rawang, Selangor","Listed on Aug 14, 2025 (1d ago)","3,792 sqft (floor),",5 Beds,6 Baths,Completion: 2019,Leasehold,https://www.propertyguru.com.my/property-listing/setia-eco-templer-for-sale-by-clement-chan-60360734
"RM 870,000","Jalan KE9/1B1F, Kota Emerald, Rawang, Selangor","Listed on Aug 14, 2025 (1d ago)","3,200 sqft (floor),",4 Beds,4 Baths,Completion: 2012,Freehold,https://www.propertyguru.com.my/property-listing/amberley-for-sale-by-bill-chia-500022678
"RM 2,200,000","Bukit Sungai Long, Bandar Sungai Long, Selangor","Listed on Aug 13, 2025 (1d ago)","4,000 sqft (floor),",5 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/bukit-sungai-long-for-sale-by-shanny-tan-42981723
