Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 250,000","Jalan Us 1, Off Jalan Ikram - Uniten, De Centrum, Kajang, Selangor","Listed on Aug 15, 2025 (2h ago)",574 sqft,2 Beds,1 Bath,Completion: 2015,Freehold,https://www.propertyguru.com.my/property-listing/de-centrum-residences-for-sale-by-jason-liew-42547011
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/subang-jaya-city-centre-sjcc-sjcc-east-one-for-sale-by-sime-darby-property-subang-sdn-bhd-43089432#11474
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/gaya-residency-for-sale-by-mkh-property-ventures-sdn-bhd-43409694#11681
"RM 488,000","40 Jalan Sungai Burung 32/68, Bukit Rimau, Shah Alam, Selangor","Listed on Aug 15, 2025 (4h ago)",875 sqft,3 Beds,2 Baths,Completion: 2020,Freehold,https://www.propertyguru.com.my/property-listing/geo-bukit-rimau-for-sale-by-esther-leong-41972037
"RM 388,000","Jalan PJU 8/1, Bandar Damansara Perdana, Damansara Perdana, Selangor","Listed on Aug 15, 2025 (4h ago)","1,096 sqft",3 Beds,2 Baths,Completion: 2013,Leasehold,https://www.propertyguru.com.my/property-listing/metropolitan-square-for-sale-by-kelvin-wong-500016424
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/prestige-residence-for-sale-by-lbs-bina-group-berhad-33574434#3153
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/samm-rsku-serasi-samm-for-sale-by-sime-darby-property-bukit-raja-sdn-bhd-36989476#4566
"RM 379,000","Jalan PJU 10/1A Jalan PJU 10/1A, Damansara Damai, Selangor","Listed on Aug 14, 2025 (17h ago)",883 sqft,4 Beds,2 Baths,Completion: 2020,Leasehold,https://www.propertyguru.com.my/property-listing/the-zizz-damansara-north-for-sale-by-m-j-zairin-60363996
"RM 730,000","Jalan Pju 1A/4, Ara Damansara, Selangor","Listed on Aug 14, 2025 (1d ago)",871 sqft,2 Beds,2 Baths,Completion: 2018,Leasehold,https://www.propertyguru.com.my/property-listing/the-potpourri-for-sale-by-joan-wong-60256610
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/sj7-hype-residences-for-sale-by-sime-darby-property-sj7-sdn-bhd-39033569#5063
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/putra-heights-damayan-residences-for-sale-by-sime-darby-property-bukit-raja-sdn-bhd-41237437#5486
"RM 199,000","Jalan Teknorat 2, Cyberjaya, Selangor","Listed on Aug 14, 2025 (1d ago)",450 sqft,1 Bed,1 Bath,Service Residence,Freehold,https://www.propertyguru.com.my/property-listing/the-vybe-for-sale-by-ms-goh-60361642
"RM 279,000","Jalan Kb 2/15 Jalan Kb 2/15, Kampung Baru Balakong, Balakong, Selangor","Listed on Aug 14, 2025 (1d ago)",484 sqft,Studio,1 Bath,Completion: 2016,Freehold,https://www.propertyguru.com.my/property-listing/silk-sky-for-sale-by-sam-poh-60036097
"RM 280,000","Jalan Kb 2/15 Jalan Kb 2/15, Kampung Baru Balakong, Balakong, Selangor","Listed on Aug 14, 2025 (1d ago)",484 sqft,Studio,1 Bath,Completion: 2016,Freehold,https://www.propertyguru.com.my/property-listing/silk-sky-for-sale-by-sam-poh-60036007
"RM 328,000","Persiaran Lestari Perdana, Taman Lestari Pedana, Seri Kembangan, Selangor","Listed on Aug 14, 2025 (1d ago)",852 sqft,3 Beds,2 Baths,Completion: 2025,Leasehold,https://www.propertyguru.com.my/property-listing/prestige-residence-for-sale-by-winnie-yee-60274790
"RM 375,000","Persiaran Kajang 2, Kajang, Selangor","Listed on Aug 12, 2025 (2d ago)",931 sqft,3 Beds,2 Baths,Completion: 2024,Freehold,https://www.propertyguru.com.my/property-listing/mirai-residences-for-sale-by-claire-goh-60232201
"RM 250,000","Jalan Pekan, Batu 11 Cheras, Cheras, Selangor","Listed on Aug 12, 2025 (2d ago)",704 sqft,2 Beds,2 Baths,Service Residence,Freehold,https://www.propertyguru.com.my/property-listing/b11-parkland-residence-for-sale-by-audrey-chong-43437834
"RM 630,000","Jalan MP 1, Subang Jaya, Selangor","Listed on Aug 12, 2025 (3d ago)","1,227 sqft (floor),",4 Beds,2 Baths,Completion: 2028,Freehold,https://www.propertyguru.com.my/property-listing/amika-residences-for-sale-by-nicole-tham-42650650
"RM 310,000","8 Jalan Damansara PJU, Damansara Perdana, Selangor","Listed on Aug 12, 2025 (3d ago)","379 sqft (floor),",1 Bed,1 Bath,Service Residence,Freehold,https://www.propertyguru.com.my/property-listing/mossaz-empire-city-for-sale-by-sean-60304541
"RM 490,000","Jalan PJU 1a/46, Ara Damansara, Petaling Jaya, Selangor","Listed on Aug 12, 2025 (3d ago)",721 sqft,2 Beds,2 Baths,Service Residence,Freehold,https://www.propertyguru.com.my/property-listing/arra-residences-for-sale-by-freddy-ho-60276461
"RM 250,000","Persiaran Awana, Batu 9, Cheras, Selangor","Listed on Aug 12, 2025 (3d ago)",550 sqft,2 Beds,1 Bath,Completion: 2026,Freehold,https://www.propertyguru.com.my/property-listing/emerald-9-for-sale-by-kai-kwang-wan-43386087
"RM 243,000","Persiaran Kajang 2 Selatan, Kajang 2, Kajang, Selangor","Listed on Aug 11, 2025 (3d ago)",551 sqft,2 Beds,1 Bath,Completion: 2029,Freehold,https://www.propertyguru.com.my/property-listing/gaya-residency-for-sale-by-kingsley-phang-60352016
"RM 550,000","Persiaran Rimbayu, Kota Kemuning, Shah Alam, Selangor","Listed on Aug 11, 2025 (3d ago)",840 sqft,3 Beds,2 Baths,Completion: 2026,Leasehold,https://www.propertyguru.com.my/property-listing/quayside-plazas-serviced-apartments-for-sale-by-lim-ai-jin-42647204
"RM 550,000","Jalan MP 1, Subang Jaya, Selangor","Listed on Aug 11, 2025 (3d ago)","1,000 sqft",3 Beds,2 Baths,Service Residence,Freehold,https://www.propertyguru.com.my/property-listing/alira-metropark-subang-for-sale-by-kelly-ong-41097199
"RM 630,000","Jalan MP 1, Subang Jaya, Selangor","Listed on Aug 11, 2025 (3d ago)","1,227 sqft",4 Beds,3 Baths,Completion: 2028,Freehold,https://www.propertyguru.com.my/property-listing/amika-residences-for-sale-by-kelly-ong-41070664
"RM 450,000","Telok Panglima Garang, Selangor","Listed on Aug 11, 2025 (3d ago)",657 sqft,2 Beds,1 Bath,Completion: 2021,Leasehold,https://www.propertyguru.com.my/property-listing/the-amber-residence-twentyfive-7-for-sale-by-lim-ai-jin-34723456
"RM 1,056,000","Jalan Sultan Yahya Petra, Taman Ampang Hilir, Ampang, Selangor","Listed on Aug 11, 2025 (3d ago)","1,821 sqft",4 Beds,3 Baths,Completion: 2027,Leasehold,https://www.propertyguru.com.my/property-listing/semarak-residence-for-sale-by-shawn-kuok-36222938
"RM 580,000","Jalan Setia Dagang AH U13/AH, Alam Nusantara, Setia Alam, Selangor","Listed on Aug 10, 2025 (4d ago)",858 sqft,2 Beds,2 Baths,Completion: 2020,Freehold,https://www.propertyguru.com.my/property-listing/setia-city-residences-for-sale-by-josef-cheah-yong-sheng-60237213
"RM 850,000","Persiaran Tropicana, Tropicana, Selangor","Listed on Aug 10, 2025 (5d ago)","1,085 sqft",3 Beds,3 Baths,Completion: 2020,Leasehold,https://www.propertyguru.com.my/property-listing/lumi-tropicana-for-sale-by-lee-su-li-60331029
"RM 398,000","Jalan Kb 2/15 Jalan Kb 2/15, Kampung Baru Balakong, Balakong, Selangor","Listed on Aug 10, 2025 (5d ago)","1,044 sqft",3 Beds,2 Baths,Completion: 2016,Freehold,https://www.propertyguru.com.my/property-listing/silk-sky-for-sale-by-niko-swee-43292244
