Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 328,999","Bandar Baru Salak Tinggi, Sepang, Selangor","Listed on Aug 15, 2025 (12m ago)","3,081 sqft (floor),",4 Beds,4 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/sepang-sepang-for-sale-by-henxon-kong-42507156
"RM 588,000 - RM 891,000","Antara Gapi, Serendah, Selangor","Listed on Apr 16, 2025 (4mo ago)","1,708 sqft - 1,872 sqft",4 Beds,3 Baths,Completion: 2026,Leasehold,https://www.propertyguru.com.my/property-listing/project/pkns-ixora-for-sale-by-perbadanan-kemajuan-negeri-selangor-pkns-43089628?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2Ijo2MDQ5ODQ1LCJhdCI6MTYzLCJidCI6MCwiY20iOjYzMjI4ODY5MSwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3MTE2NTMxODAsImRpIjoiMDc4YTM2Njg2N2Q5NDE4ZGI2ZDIxZDBkZTBmZGJkMGMiLCJkaiI6MCwiaWkiOiI1N2NiOGIzYWRhMzQ0YWY0YWY1OTVhMzljYTAxZDQzMCIsImRtIjozLCJmYyI6ODg1OTM2Njc3LCJmbCI6ODM1MTAyOTU3LCJpcCI6IjYwLjQ4LjE2OC45MyIsImt3IjoiNDVuazEsbGlzdGluZy1yZXNpZGVudGlhbCxsaXN0aW5nLXNhbGUtcHJvcC10IiwibWsiOiJsaXN0aW5nLXNhbGUtcHJvcC10LDQ1bmsxIiwibnciOjExMTM1LCJwYyI6MjUwMCwib3AiOjI1MDAsIm1wIjoyNTAwLCJlYyI6MjUwMCwiZ20iOjAsImVwIjpudWxsLCJwciI6MjM1NzE0LCJydCI6MiwicnMiOjUwMCwic2EiOiI4MSIsInNiIjoiaS0wMjM2ZTA3MDNkM2I3OWM2NCIsInNwIjozMjg5MjUsInN0IjoxMjM0NTU1LCJ1ayI6IjY0YzAyOWIxLWNjZGUtNGFlMC1iZDk0LTQwZGIxZDY3ZGUxYSIsInRzIjoxNzU1MjQyOTMxNzIwLCJiZiI6dHJ1ZSwicG4iOiIxLTItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQXNpYS9TaW5nYXBvcmUiLCJmY3BjIjpmYWxzZSwiZXQiOjIwNX0%26s%3DqqbYrBqxaTo4uf8Rgj8sZUctPmU#11478
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/springwood-residences-for-sale-by-bcb-development-sdn-bhd-43346891#11563
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/bandar-bukit-raja-adira-for-sale-by-sime-darby-property-berhad-60293423#11823
"RM 750,000","Cyberjaya, Selangor","Listed on Aug 15, 2025 (13m ago)","2,402 sqft",4 Beds,3 Baths,2-storey Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/new-launching-double-storey-750k-w-clubhouse-cyber-valley-for-sale-by-jay-go-40999890
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/taman-seri-mewah-3-for-sale-by-estinia-hardware-sdn-bhd-60322828#11834
"RM 610,500
Starting from","Persiaran CV 3/2, Cyber 10, Cyberjaya, Selangor","Listed on Jun 06, 2025 (2mo ago)","1,072 sqft",3 Beds,2 Baths,Completion: 2026,Leasehold,https://www.propertyguru.com.my/property-listing/project/aludra-residensi-for-sale-by-perbadanan-kemajuan-negeri-selangor-pkns-43399246?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2Ijo2MDQ5Nzk0LCJhdCI6MTYzLCJidCI6MCwiY20iOjY1MTA5MDkwMiwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3NDE4MDE2OTYsImRpIjoiMDc4YTM2Njg2N2Q5NDE4ZGI2ZDIxZDBkZTBmZGJkMGMiLCJkaiI6MSwiaWkiOiJiMDg3MjVmZTk4NTA0MWU1YTU0YmE0MDVhM2JkYzNiZiIsImRtIjozLCJmYyI6OTE2MDkzMDU0LCJmbCI6ODUzOTU0NzE4LCJpcCI6IjYwLjQ4LjE2OC45MyIsImt3IjoiNDVuazEsbGlzdGluZy1yZXNpZGVudGlhbCxsaXN0aW5nLXNhbGUtcHJvcC10IiwibWsiOiJsaXN0aW5nLXNhbGUtcHJvcC10LDQ1bmsxIiwibnciOjExMTM1LCJwYyI6MjUwMCwib3AiOjI1MDAsIm1wIjoyNTAwLCJlYyI6MjUwMCwiZ20iOjAsImVwIjpudWxsLCJwciI6MjM1NzE0LCJydCI6MiwicnMiOjUwMCwic2EiOiI4MSIsInNiIjoiaS0wMjM2ZTA3MDNkM2I3OWM2NCIsInNwIjozMjg5MjUsInN0IjoxMjM0NTU1LCJ1ayI6IjY0YzAyOWIxLWNjZGUtNGFlMC1iZDk0LTQwZGIxZDY3ZGUxYSIsInRzIjoxNzU1MjQyOTMxNzIwLCJiZiI6dHJ1ZSwicG4iOiIxLTItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQXNpYS9TaW5nYXBvcmUiLCJmY3BjIjpmYWxzZSwiZXQiOjIwNX0%26s%3DEvthTiKwzzDVLUxtvnUtycJ8o68#11673
,,,,,,,,https://www.propertyguru.com.my/property-listing/project/taman-tulip-5-for-sale-by-idaman-ekspres-sdn-bhd-40012856#5219
"RM 1,280,000","Taman Kinrara, Bandar Kinrara, Selangor","Listed on Aug 15, 2025 (47m ago)","1,950 sqft (floor),",4 Beds,3 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/bandar-kinrara-for-sale-by-chai-my-42348897
"RM 1,070,000","Jalan SS 2, SS2, Petaling Jaya, Selangor","Listed on Aug 15, 2025 (1h ago)","2,000 sqft (floor),",4 Beds,3 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/below-market-price-ss2-petaling-jaya-for-sale-by-abbie-lim-43084846
"RM 452,000","Bandar Sunway, Sunway, Selangor","Listed on Aug 15, 2025 (1h ago)",900 sqft,3 Beds,2 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/sunway-condo-0-downpayment-early-promo-walk-to-monash-for-sale-by-annie-lee-60334501
"RM 1,250,000","Baru Selayang, Selayang, Selangor","Listed on Aug 15, 2025 (1h ago)","2,824 sqft (floor),",5 Beds,5 Baths,Completion: 2021,Leasehold,https://www.propertyguru.com.my/property-listing/hijauan-selayang-for-sale-by-cm-lee-40975237
