Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 250,000","Kuala Selangor, Selangor","Listed on Aug 09, 2025 (5d ago)","10,000 sqft (floor),",3 Beds,2 Baths,Completion: 2026,Freehold,https://www.propertyguru.com.my/property-listing/puncak-awani-for-sale-by-joey-koh-60303290
"RM 610,500
Starting from","Persiaran CV 3/2, Cyber 10, Cyberjaya, Selangor","Listed on Jun 06, 2025 (2mo ago)","1,072 sqft",3 Beds,2 Baths,Completion: 2026,Leasehold,https://www.propertyguru.com.my/property-listing/project/aludra-residensi-for-sale-by-perbadanan-kemajuan-negeri-selangor-pkns-43399246?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2Ijo2MDQ5Nzk0LCJhdCI6MTYzLCJidCI6MCwiY20iOjY1MTA5MDkwMiwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3NDE4MDE2OTYsImRpIjoiZmNhYjc1NjVjNGM2NDUxZGFkN2I4YWU1OWQ5NmI2NmQiLCJkaiI6MCwiaWkiOiJkMGM5YTlhZGEyM2Q0MDEzOTVhYzllMWUzNTk4NmU0ZiIsImRtIjozLCJmYyI6OTE2MDkzMDU0LCJmbCI6ODUzOTU0NzE4LCJpcCI6IjYwLjQ4LjE2OC45MyIsImt3IjoiNDVuazEsbGlzdGluZy1yZXNpZGVudGlhbCxsaXN0aW5nLXNhbGUtcHJvcC10IiwibWsiOiJsaXN0aW5nLXNhbGUtcHJvcC10LDQ1bmsxIiwibnciOjExMTM1LCJwYyI6MjUwMCwib3AiOjI1MDAsIm1wIjoyNTAwLCJlYyI6MjUwMCwiZ20iOjAsImVwIjpudWxsLCJwciI6MjM1NzE0LCJydCI6MiwicnMiOjUwMCwic2EiOiI4MSIsInNiIjoiaS0wOGZkNGE1MzBlYzA2NzliMCIsInNwIjozNTc2MTcsInN0IjoxMjM0NTU1LCJ1ayI6IjI5OTJjNDMwLTExZDItNGRmZS1iN2JlLTZhNjQ2OTE5Y2NjNiIsInRzIjoxNzU1MjQzMTk2NjcwLCJiZiI6dHJ1ZSwicG4iOiIxLTItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQXNpYS9TaW5nYXBvcmUiLCJmY3BjIjpmYWxzZSwiZXQiOjIwNX0%26s%3DUUq0G36dQc_U_B6L71fQe6rJ1BE#11673
"RM 380,000","Jalan Impian 11B, Bandar Botanik, 41200 Klang, Selangor, Bandar Botanic, Klang, Selangor","Listed on Aug 14, 2025 (1d ago)","1,200 sqft (floor),",3 Beds,2 Baths,Completion: 2018,Freehold,https://www.propertyguru.com.my/property-listing/laman-impian-for-sale-by-mohd-nor-fahmi-60339875
"RM 870,000","Bandar Sri Damansara, Selangor","Listed on Aug 13, 2025 (1d ago)","1,367 sqft",3 Beds,3 Baths,Completion: 2025,99-year Leasehold,https://www.propertyguru.com.my/property-listing/residensi-harmoni-for-sale-by-jess-lim-42554835
"RM 390,000","Jenjarom, Banting, Selangor","Listed on Aug 13, 2025 (2d ago)","1,680 sqft (floor),",4 Beds,4 Baths,Townhouse,Leasehold,https://www.propertyguru.com.my/property-listing/low-level-double-storey-townhouse-bandar-saujana-putra-for-sale-by-yasmin-sulaiman-60356680
"RM 350,000","Persiaran Puteri Satu, Batu 9, Cheras, Selangor","Listed on Aug 12, 2025 (2d ago)","1,712 sqft",5 Beds,3 Baths,Completion: 2005,Freehold,https://www.propertyguru.com.my/property-listing/taragon-puteri-cheras-for-sale-by-chen-kar-mun-42041350
"RM 751,000
Starting from","Galeri Jualan PKNS Kota Puteri, Rawang, Selangor","Listed on Mar 27, 2025 (4mo ago)",,4 Beds,5 Baths,Completion: 2026,Leasehold,https://www.propertyguru.com.my/property-listing/project/puteri-ariana-3-for-sale-by-perbadanan-kemajuan-negeri-selangor-pkns-43087207?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMyIsImF2Ijo2MDQ5Nzk0LCJhdCI6MTYzLCJidCI6MCwiY20iOjYzMjI3NTkxMSwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3MTE2NDAxNTYsImRpIjoiZmNhYjc1NjVjNGM2NDUxZGFkN2I4YWU1OWQ5NmI2NmQiLCJkaiI6MSwiaWkiOiIwYjczYmFlNDI0YzE0YTFiOTc4ZWY5MzNlMjU3NmM1OSIsImRtIjozLCJmYyI6ODg1OTIzNjQ3LCJmbCI6ODM1MDkwMjI5LCJpcCI6IjYwLjQ4LjE2OC45MyIsImt3IjoiNDVuazEsbGlzdGluZy1yZXNpZGVudGlhbCxsaXN0aW5nLXNhbGUtcHJvcC10IiwibWsiOiJsaXN0aW5nLXNhbGUtcHJvcC10LDQ1bmsxIiwibnciOjExMTM1LCJwYyI6MjUwMCwib3AiOjI1MDAsIm1wIjoyNTAwLCJlYyI6MjUwMCwiZ20iOjAsImVwIjpudWxsLCJwciI6MjM1NzE0LCJydCI6MiwicnMiOjUwMCwic2EiOiI4MSIsInNiIjoiaS0wOGZkNGE1MzBlYzA2NzliMCIsInNwIjozNTc2MTcsInN0IjoxMjM0NTU1LCJ1ayI6IjI5OTJjNDMwLTExZDItNGRmZS1iN2JlLTZhNjQ2OTE5Y2NjNiIsInRzIjoxNzU1MjQzMTk2NjcwLCJiZiI6dHJ1ZSwicG4iOiIxLTItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiQXNpYS9TaW5nYXBvcmUiLCJmY3BjIjpmYWxzZSwiZXQiOjIwNX0%26s%3DTkhRax_X02-Bp88xHCQ6MDE6iQ4#11473
"RM 2,100,000","Bandar Sri Damansara, Selangor","Listed on Aug 10, 2025 (5d ago)","3,741 sqft (floor),",6 Beds,6 Baths,Completion: 2026,99-year Leasehold,https://www.propertyguru.com.my/property-listing/26-ara-ville-for-sale-by-lakshmi-govindaraj-42797223
"RM 310,000","Taman Desa Country Homes, Rawang, Selangor","Listed on Aug 08, 2025 (6d ago)","1,400 sqft (floor),",3 Beds,2 Baths,Townhouse,,https://www.propertyguru.com.my/property-listing/taman-desa-mutiara-rawang-for-sale-by-foong-yun-60072294
"RM 604,300
Starting from","Greenwoods @ Salak Perdana, Sepang, Selangor","Listed on Apr 25, 2025 (3mo ago)","1,700 sqft - 1,926 sqft",4 Beds,4 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/project/greenwoods-senna-salak-perdana-for-sale-by-paramount-property-sepang-sdn-bhd-41153608#5462
